od,path,edge,delta,origin,destination
4,4,3,0,1,5
4,4,4,0,1,5
4,4,5,0,1,5
4,4,6,0,1,5
4,4,7,0,1,5
4,4,8,0,1,5
4,5,1,0,1,5
4,5,2,0,1,5
4,5,3,0,1,5
4,5,4,0,1,5
4,5,5,0,1,5
4,5,6,0,1,5
4,5,7,0,1,5
4,5,8,0,1,5
4,6,1,0,1,5
4,6,2,0,1,5
4,6,3,0,1,5
4,6,4,0,1,5
4,6,5,0,1,5
4,6,6,0,1,5
4,6,7,0,1,5
4,6,8,0,1,5
4,7,1,0,1,5
4,7,2,0,1,5
4,7,3,0,1,5
4,7,4,0,1,5
4,7,5,0,1,5
4,7,6,0,1,5
4,7,7,0,1,5
4,7,8,0,1,5
4,8,1,0,1,5
4,8,2,0,1,5
4,8,3,0,1,5
4,8,4,0,1,5
4,8,5,0,1,5
4,8,6,0,1,5
4,8,7,0,1,5
4,8,8,0,1,5
4,9,1,0,1,5
4,9,2,0,1,5
4,9,3,0,1,5
4,9,4,0,1,5
4,9,5,0,1,5
4,9,6,0,1,5
4,9,7,0,1,5
4,9,8,0,1,5
4,10,1,0,1,5
4,10,2,0,1,5
4,10,3,0,1,5
4,10,4,0,1,5
4,10,5,0,1,5
4,10,6,0,1,5
4,10,7,0,1,5
4,10,8,0,1,5
5,1,1,1,1,6
5,1,2,0,1,6
5,1,3,1,1,6
5,1,4,0,1,6
5,1,5,1,1,6
5,1,6,0,1,6
5,1,7,0,1,6
5,1,8,0,1,6
5,2,1,0,1,6
5,2,2,0,1,6
5,2,3,0,1,6
5,2,4,0,1,6
5,2,5,0,1,6
5,2,6,0,1,6
5,2,7,0,1,6
5,2,8,0,1,6
5,3,1,0,1,6
5,3,2,0,1,6
5,3,3,0,1,6
5,3,4,0,1,6
5,3,5,0,1,6
5,3,6,0,1,6
5,3,7,0,1,6
5,3,8,0,1,6
5,4,1,0,1,6
5,4,2,0,1,6
5,4,3,0,1,6
5,4,4,0,1,6
5,4,5,0,1,6
5,4,6,0,1,6
5,4,7,0,1,6
5,4,8,0,1,6
5,5,1,0,1,6
5,5,2,0,1,6
5,5,3,0,1,6
5,5,4,0,1,6
5,5,5,0,1,6
5,5,6,0,1,6
5,5,7,0,1,6
5,5,8,0,1,6
5,6,1,0,1,6
5,6,2,0,1,6
5,6,3,0,1,6
5,6,4,0,1,6
5,6,5,0,1,6
5,6,6,0,1,6
5,6,7,0,1,6
5,6,8,0,1,6
5,7,1,0,1,6
5,7,2,0,1,6
5,7,3,0,1,6
5,7,4,0,1,6
5,7,5,0,1,6
5,7,6,0,1,6
5,7,7,0,1,6
5,7,8,0,1,6
5,8,1,0,1,6
5,8,2,0,1,6
5,8,3,0,1,6
5,8,4,0,1,6
5,8,5,0,1,6
5,8,6,0,1,6
5,8,7,0,1,6
5,8,8,0,1,6
5,9,1,0,1,6
5,9,2,0,1,6
5,9,3,0,1,6
5,9,4,0,1,6
5,9,5,0,1,6
5,9,6,0,1,6
5,9,7,0,1,6
5,9,8,0,1,6
5,10,1,0,1,6
5,10,2,0,1,6
5,10,3,0,1,6
5,10,4,0,1,6
5,10,5,0,1,6
5,10,6,0,1,6
5,10,7,0,1,6
5,10,8,0,1,6
6,1,1,1,1,7
6,1,2,0,1,7
6,1,3,1,1,7
6,1,4,0,1,7
6,1,5,0,1,7
6,1,6,1,1,7
6,1,7,0,1,7
6,1,8,0,1,7
6,2,1,0,1,7
6,2,2,0,1,7
6,2,3,0,1,7
6,2,4,0,1,7
6,2,5,0,1,7
6,2,6,0,1,7
6,2,7,0,1,7
6,2,8,0,1,7
6,3,1,0,1,7
6,3,2,0,1,7
6,3,3,0,1,7
6,3,4,0,1,7
6,3,5,0,1,7
6,3,6,0,1,7
6,3,7,0,1,7
6,3,8,0,1,7
6,4,1,0,1,7
6,4,2,0,1,7
6,4,3,0,1,7
6,4,4,0,1,7
6,4,5,0,1,7
6,4,6,0,1,7
6,4,7,0,1,7
6,4,8,0,1,7
6,5,1,0,1,7
6,5,2,0,1,7
6,5,3,0,1,7
6,5,4,0,1,7
6,5,5,0,1,7
6,5,6,0,1,7
6,5,7,0,1,7
6,5,8,0,1,7
6,6,1,0,1,7
6,6,2,0,1,7
6,6,3,0,1,7
6,6,4,0,1,7
6,6,5,0,1,7
6,6,6,0,1,7
6,6,7,0,1,7
6,6,8,0,1,7
6,7,1,0,1,7
6,7,2,0,1,7
6,7,3,0,1,7
6,7,4,0,1,7
6,7,5,0,1,7
6,7,6,0,1,7
6,7,7,0,1,7
6,7,8,0,1,7
6,8,1,0,1,7
6,8,2,0,1,7
6,8,3,0,1,7
6,8,4,0,1,7
6,8,5,0,1,7
6,8,6,0,1,7
6,8,7,0,1,7
6,8,8,0,1,7
6,9,1,0,1,7
6,9,2,0,1,7
6,9,3,0,1,7
6,9,4,0,1,7
6,9,5,0,1,7
6,9,6,0,1,7
6,9,7,0,1,7
6,9,8,0,1,7
6,10,1,0,1,7
6,10,2,0,1,7
6,10,3,0,1,7
6,10,4,0,1,7
6,10,5,0,1,7
6,10,6,0,1,7
6,10,7,0,1,7
6,10,8,0,1,7
7,1,1,1,1,8
7,1,2,0,1,8
7,1,3,1,1,8
7,1,4,0,1,8
7,1,5,0,1,8
7,1,6,1,1,8
7,1,7,1,1,8
7,1,8,0,1,8
7,2,1,0,1,8
7,2,2,0,1,8
7,2,3,0,1,8
7,2,4,0,1,8
7,2,5,0,1,8
7,2,6,0,1,8
7,2,7,0,1,8
7,2,8,0,1,8
7,3,1,0,1,8
7,3,2,0,1,8
7,3,3,0,1,8
7,3,4,0,1,8
7,3,5,0,1,8
7,3,6,0,1,8
7,3,7,0,1,8
7,3,8,0,1,8
7,4,1,0,1,8
7,4,2,0,1,8
7,4,3,0,1,8
7,4,4,0,1,8
7,4,5,0,1,8
7,4,6,0,1,8
7,4,7,0,1,8
7,4,8,0,1,8
7,5,1,0,1,8
7,5,2,0,1,8
7,5,3,0,1,8
7,5,4,0,1,8
7,5,5,0,1,8
7,5,6,0,1,8
7,5,7,0,1,8
7,5,8,0,1,8
7,6,1,0,1,8
7,6,2,0,1,8
7,6,3,0,1,8
7,6,4,0,1,8
7,6,5,0,1,8
7,6,6,0,1,8
7,6,7,0,1,8
7,6,8,0,1,8
7,7,1,0,1,8
7,7,2,0,1,8
7,7,3,0,1,8
7,7,4,0,1,8
7,7,5,0,1,8
7,7,6,0,1,8
7,7,7,0,1,8
7,7,8,0,1,8
7,8,1,0,1,8
7,8,2,0,1,8
7,8,3,0,1,8
7,8,4,0,1,8
7,8,5,0,1,8
7,8,6,0,1,8
7,8,7,0,1,8
7,8,8,0,1,8
7,9,1,0,1,8
7,9,2,0,1,8
7,9,3,0,1,8
7,9,4,0,1,8
7,9,5,0,1,8
7,9,6,0,1,8
7,9,7,0,1,8
7,9,8,0,1,8
7,10,1,0,1,8
7,10,2,0,1,8
7,10,3,0,1,8
7,10,4,0,1,8
7,10,5,0,1,8
7,10,6,0,1,8
7,10,7,0,1,8
7,10,8,0,1,8
8,1,1,1,1,9
8,1,2,0,1,9
8,1,3,1,1,9
8,1,4,0,1,9
8,1,5,0,1,9
8,1,6,1,1,9
8,1,7,0,1,9
8,1,8,1,1,9
8,2,1,0,1,9
8,2,2,0,1,9
8,2,3,0,1,9
8,2,4,0,1,9
8,2,5,0,1,9
8,2,6,0,1,9
8,2,7,0,1,9
8,2,8,0,1,9
8,3,1,0,1,9
8,3,2,0,1,9
8,3,3,0,1,9
8,3,4,0,1,9
8,3,5,0,1,9
8,3,6,0,1,9
8,3,7,0,1,9
8,3,8,0,1,9
8,4,1,0,1,9
8,4,2,0,1,9
8,4,3,0,1,9
8,4,4,0,1,9
8,4,5,0,1,9
8,4,6,0,1,9
8,4,7,0,1,9
8,4,8,0,1,9
8,5,1,0,1,9
8,5,2,0,1,9
8,5,3,0,1,9
8,5,4,0,1,9
8,5,5,0,1,9
8,5,6,0,1,9
8,5,7,0,1,9
8,5,8,0,1,9
8,6,1,0,1,9
8,6,2,0,1,9
8,6,3,0,1,9
8,6,4,0,1,9
8,6,5,0,1,9
8,6,6,0,1,9
8,6,7,0,1,9
8,6,8,0,1,9
8,7,1,0,1,9
8,7,2,0,1,9
8,7,3,0,1,9
8,7,4,0,1,9
8,7,5,0,1,9
8,7,6,0,1,9
8,7,7,0,1,9
8,7,8,0,1,9
8,8,1,0,1,9
8,8,2,0,1,9
8,8,3,0,1,9
8,8,4,0,1,9
8,8,5,0,1,9
8,8,6,0,1,9
8,8,7,0,1,9
8,8,8,0,1,9
8,9,1,0,1,9
8,9,2,0,1,9
8,9,3,0,1,9
8,9,4,0,1,9
8,9,5,0,1,9
8,9,6,0,1,9
8,9,7,0,1,9
8,9,8,0,1,9
8,10,1,0,1,9
8,10,2,0,1,9
8,10,3,0,1,9
8,10,4,0,1,9
8,10,5,0,1,9
8,10,6,0,1,9
8,10,7,0,1,9
8,10,8,0,1,9
9,1,1,1,2,1
9,1,2,1,2,1
9,1,3,0,2,1
9,1,4,0,2,1
9,1,5,0,2,1
9,1,6,0,2,1
9,1,7,0,2,1
9,1,8,0,2,1
9,2,1,0,2,1
9,2,2,0,2,1
9,2,3,0,2,1
9,2,4,0,2,1
9,2,5,0,2,1
9,2,6,0,2,1
9,2,7,0,2,1
9,2,8,0,2,1
9,3,1,0,2,1
9,3,2,0,2,1
9,3,3,0,2,1
9,3,4,0,2,1
9,3,5,0,2,1
9,3,6,0,2,1
9,3,7,0,2,1
9,3,8,0,2,1
9,4,1,0,2,1
9,4,2,0,2,1
9,4,3,0,2,1
9,4,4,0,2,1
9,4,5,0,2,1
9,4,6,0,2,1
9,4,7,0,2,1
9,4,8,0,2,1
9,5,1,0,2,1
9,5,2,0,2,1
9,5,3,0,2,1
9,5,4,0,2,1
9,5,5,0,2,1
9,5,6,0,2,1
9,5,7,0,2,1
9,5,8,0,2,1
9,6,1,0,2,1
9,6,2,0,2,1
9,6,3,0,2,1
9,6,4,0,2,1
9,6,5,0,2,1
9,6,6,0,2,1
9,6,7,0,2,1
9,6,8,0,2,1
9,7,1,0,2,1
9,7,2,0,2,1
9,7,3,0,2,1
9,7,4,0,2,1
9,7,5,0,2,1
9,7,6,0,2,1
9,7,7,0,2,1
9,7,8,0,2,1
9,8,1,0,2,1
9,8,2,0,2,1
9,8,3,0,2,1
9,8,4,0,2,1
9,8,5,0,2,1
9,8,6,0,2,1
9,8,7,0,2,1
9,8,8,0,2,1
9,9,1,0,2,1
9,9,2,0,2,1
9,9,3,0,2,1
9,9,4,0,2,1
9,9,5,0,2,1
9,9,6,0,2,1
9,9,7,0,2,1
9,9,8,0,2,1
9,10,1,0,2,1
9,10,2,0,2,1
9,10,3,0,2,1
9,10,4,0,2,1
9,10,5,0,2,1
9,10,6,0,2,1
9,10,7,0,2,1
9,10,8,0,2,1
10,1,1,0,2,3
10,1,2,1,2,3
10,1,3,0,2,3
10,1,4,0,2,3
10,1,5,0,2,3
10,1,6,0,2,3
10,1,7,0,2,3
10,1,8,0,2,3
10,2,1,0,2,3
10,2,2,0,2,3
10,2,3,0,2,3
10,2,4,0,2,3
10,2,5,0,2,3
10,2,6,0,2,3
10,2,7,0,2,3
10,2,8,0,2,3
10,3,1,0,2,3
10,3,2,0,2,3
10,3,3,0,2,3
10,3,4,0,2,3
10,3,5,0,2,3
10,3,6,0,2,3
10,3,7,0,2,3
10,3,8,0,2,3
10,4,1,0,2,3
10,4,2,0,2,3
10,4,3,0,2,3
10,4,4,0,2,3
10,4,5,0,2,3
10,4,6,0,2,3
10,4,7,0,2,3
10,4,8,0,2,3
10,5,1,0,2,3
10,5,2,0,2,3
10,5,3,0,2,3
10,5,4,0,2,3
10,5,5,0,2,3
10,5,6,0,2,3
10,5,7,0,2,3
10,5,8,0,2,3
10,6,1,0,2,3
10,6,2,0,2,3
10,6,3,0,2,3
10,6,4,0,2,3
10,6,5,0,2,3
10,6,6,0,2,3
10,6,7,0,2,3
10,6,8,0,2,3
10,7,1,0,2,3
10,7,2,0,2,3
10,7,3,0,2,3
10,7,4,0,2,3
10,7,5,0,2,3
10,7,6,0,2,3
10,7,7,0,2,3
10,7,8,0,2,3
10,8,1,0,2,3
10,8,2,0,2,3
10,8,3,0,2,3
10,8,4,0,2,3
10,8,5,0,2,3
10,8,6,0,2,3
10,8,7,0,2,3
10,8,8,0,2,3
10,9,1,0,2,3
10,9,2,0,2,3
10,9,3,0,2,3
10,9,4,0,2,3
10,9,5,0,2,3
10,9,6,0,2,3
10,9,7,0,2,3
10,9,8,0,2,3
10,10,1,0,2,3
10,10,2,0,2,3
10,10,3,0,2,3
10,10,4,0,2,3
10,10,5,0,2,3
10,10,6,0,2,3
10,10,7,0,2,3
10,10,8,0,2,3
11,1,1,0,2,4
11,1,2,1,2,4
11,1,3,1,2,4
11,1,4,1,2,4
11,1,5,0,2,4
11,1,6,0,2,4
11,1,7,0,2,4
11,1,8,0,2,4
11,2,1,0,2,4
11,2,2,0,2,4
11,2,3,0,2,4
11,2,4,0,2,4
11,2,5,0,2,4
11,2,6,0,2,4
11,2,7,0,2,4
11,2,8,0,2,4
11,3,1,0,2,4
11,3,2,0,2,4
11,3,3,0,2,4
11,3,4,0,2,4
11,3,5,0,2,4
11,3,6,0,2,4
11,3,7,0,2,4
11,3,8,0,2,4
11,4,1,0,2,4
11,4,2,0,2,4
11,4,3,0,2,4
11,4,4,0,2,4
11,4,5,0,2,4
11,4,6,0,2,4
11,4,7,0,2,4
11,4,8,0,2,4
11,5,1,0,2,4
11,5,2,0,2,4
11,5,3,0,2,4
11,5,4,0,2,4
11,5,5,0,2,4
11,5,6,0,2,4
11,5,7,0,2,4
11,5,8,0,2,4
11,6,1,0,2,4
11,6,2,0,2,4
11,6,3,0,2,4
11,6,4,0,2,4
11,6,5,0,2,4
11,6,6,0,2,4
11,6,7,0,2,4
11,6,8,0,2,4
11,7,1,0,2,4
11,7,2,0,2,4
11,7,3,0,2,4
11,7,4,0,2,4
11,7,5,0,2,4
11,7,6,0,2,4
11,7,7,0,2,4
11,7,8,0,2,4
11,8,1,0,2,4
11,8,2,0,2,4
11,8,3,0,2,4
11,8,4,0,2,4
11,8,5,0,2,4
11,8,6,0,2,4
11,8,7,0,2,4
11,8,8,0,2,4
11,9,1,0,2,4
11,9,2,0,2,4
11,9,3,0,2,4
11,9,4,0,2,4
11,9,5,0,2,4
11,9,6,0,2,4
11,9,7,0,2,4
11,9,8,0,2,4
11,10,1,0,2,4
11,10,2,0,2,4
11,10,3,0,2,4
11,10,4,0,2,4
11,10,5,0,2,4
11,10,6,0,2,4
11,10,7,0,2,4
11,10,8,0,2,4
12,1,1,0,2,5
12,1,2,1,2,5
12,1,3,1,2,5
12,1,4,0,2,5
12,1,5,0,2,5
12,1,6,0,2,5
12,1,7,0,2,5
12,1,8,0,2,5
12,2,1,0,2,5
12,2,2,0,2,5
12,2,3,0,2,5
12,2,4,0,2,5
12,2,5,0,2,5
12,2,6,0,2,5
12,2,7,0,2,5
12,2,8,0,2,5
12,3,1,0,2,5
12,3,2,0,2,5
12,3,3,0,2,5
12,3,4,0,2,5
12,3,5,0,2,5
12,3,6,0,2,5
12,3,7,0,2,5
12,3,8,0,2,5
12,4,1,0,2,5
12,4,2,0,2,5
12,4,3,0,2,5
12,4,4,0,2,5
12,4,5,0,2,5
12,4,6,0,2,5
12,4,7,0,2,5
12,4,8,0,2,5
12,5,1,0,2,5
12,5,2,0,2,5
12,5,3,0,2,5
12,5,4,0,2,5
12,5,5,0,2,5
12,5,6,0,2,5
12,5,7,0,2,5
12,5,8,0,2,5
12,6,1,0,2,5
12,6,2,0,2,5
12,6,3,0,2,5
12,6,4,0,2,5
12,6,5,0,2,5
12,6,6,0,2,5
12,6,7,0,2,5
12,6,8,0,2,5
12,7,1,0,2,5
12,7,2,0,2,5
12,7,3,0,2,5
12,7,4,0,2,5
12,7,5,0,2,5
12,7,6,0,2,5
12,7,7,0,2,5
12,7,8,0,2,5
12,8,1,0,2,5
12,8,2,0,2,5
12,8,3,0,2,5
12,8,4,0,2,5
12,8,5,0,2,5
12,8,6,0,2,5
12,8,7,0,2,5
12,8,8,0,2,5
12,9,1,0,2,5
12,9,2,0,2,5
12,9,3,0,2,5
12,9,4,0,2,5
12,9,5,0,2,5
12,9,6,0,2,5
12,9,7,0,2,5
12,9,8,0,2,5
12,10,1,0,2,5
12,10,2,0,2,5
12,10,3,0,2,5
12,10,4,0,2,5
12,10,5,0,2,5
12,10,6,0,2,5
12,10,7,0,2,5
12,10,8,0,2,5
13,1,1,0,2,6
13,1,2,1,2,6
13,1,3,1,2,6
13,1,4,0,2,6
13,1,5,1,2,6
13,1,6,0,2,6
13,1,7,0,2,6
13,1,8,0,2,6
13,2,1,0,2,6
13,2,2,0,2,6
13,2,3,0,2,6
13,2,4,0,2,6
13,2,5,0,2,6
13,2,6,0,2,6
13,2,7,0,2,6
13,2,8,0,2,6
13,3,1,0,2,6
13,3,2,0,2,6
13,3,3,0,2,6
13,3,4,0,2,6
13,3,5,0,2,6
13,3,6,0,2,6
13,3,7,0,2,6
13,3,8,0,2,6
13,4,1,0,2,6
13,4,2,0,2,6
13,4,3,0,2,6
13,4,4,0,2,6
13,4,5,0,2,6
13,4,6,0,2,6
13,4,7,0,2,6
13,4,8,0,2,6
13,5,1,0,2,6
13,5,2,0,2,6
13,5,3,0,2,6
13,5,4,0,2,6
13,5,5,0,2,6
13,5,6,0,2,6
13,5,7,0,2,6
13,5,8,0,2,6
13,6,1,0,2,6
13,6,2,0,2,6
13,6,3,0,2,6
13,6,4,0,2,6
13,6,5,0,2,6
13,6,6,0,2,6
13,6,7,0,2,6
13,6,8,0,2,6
13,7,1,0,2,6
13,7,2,0,2,6
13,7,3,0,2,6
13,7,4,0,2,6
13,7,5,0,2,6
13,7,6,0,2,6
13,7,7,0,2,6
13,7,8,0,2,6
13,8,1,0,2,6
13,8,2,0,2,6
13,8,3,0,2,6
13,8,4,0,2,6
13,8,5,0,2,6
13,8,6,0,2,6
13,8,7,0,2,6
13,8,8,0,2,6
13,9,1,0,2,6
13,9,2,0,2,6
13,9,3,0,2,6
13,9,4,0,2,6
13,9,5,0,2,6
13,9,6,0,2,6
13,9,7,0,2,6
13,9,8,0,2,6
13,10,1,0,2,6
13,10,2,0,2,6
13,10,3,0,2,6
13,10,4,0,2,6
13,10,5,0,2,6
13,10,6,0,2,6
13,10,7,0,2,6
13,10,8,0,2,6
14,1,1,0,2,7
14,1,2,1,2,7
14,1,3,1,2,7
14,1,4,0,2,7
14,1,5,0,2,7
14,1,6,1,2,7
14,1,7,0,2,7
14,1,8,0,2,7
14,2,1,0,2,7
14,2,2,0,2,7
14,2,3,0,2,7
14,2,4,0,2,7
14,2,5,0,2,7
14,2,6,0,2,7
14,2,7,0,2,7
14,2,8,0,2,7
14,3,1,0,2,7
14,3,2,0,2,7
14,3,3,0,2,7
14,3,4,0,2,7
14,3,5,0,2,7
14,3,6,0,2,7
14,3,7,0,2,7
14,3,8,0,2,7
14,4,1,0,2,7
14,4,2,0,2,7
14,4,3,0,2,7
14,4,4,0,2,7
14,4,5,0,2,7
14,4,6,0,2,7
14,4,7,0,2,7
14,4,8,0,2,7
14,5,1,0,2,7
14,5,2,0,2,7
14,5,3,0,2,7
14,5,4,0,2,7
14,5,5,0,2,7
14,5,6,0,2,7
14,5,7,0,2,7
14,5,8,0,2,7
14,6,1,0,2,7
14,6,2,0,2,7
14,6,3,0,2,7
14,6,4,0,2,7
14,6,5,0,2,7
14,6,6,0,2,7
14,6,7,0,2,7
14,6,8,0,2,7
14,7,1,0,2,7
14,7,2,0,2,7
14,7,3,0,2,7
14,7,4,0,2,7
14,7,5,0,2,7
14,7,6,0,2,7
14,7,7,0,2,7
14,7,8,0,2,7
14,8,1,0,2,7
14,8,2,0,2,7
14,8,3,0,2,7
14,8,4,0,2,7
14,8,5,0,2,7
14,8,6,0,2,7
14,8,7,0,2,7
14,8,8,0,2,7
14,9,1,0,2,7
14,9,2,0,2,7
14,9,3,0,2,7
14,9,4,0,2,7
14,9,5,0,2,7
14,9,6,0,2,7
14,9,7,0,2,7
14,9,8,0,2,7
14,10,1,0,2,7
14,10,2,0,2,7
14,10,3,0,2,7
14,10,4,0,2,7
14,10,5,0,2,7
14,10,6,0,2,7
14,10,7,0,2,7
14,10,8,0,2,7
15,1,1,0,2,8
15,1,2,1,2,8
15,1,3,1,2,8
15,1,4,0,2,8
15,1,5,0,2,8
15,1,6,1,2,8
15,1,7,1,2,8
15,1,8,0,2,8
15,2,1,0,2,8
15,2,2,0,2,8
15,2,3,0,2,8
15,2,4,0,2,8
15,2,5,0,2,8
15,2,6,0,2,8
15,2,7,0,2,8
15,2,8,0,2,8
15,3,1,0,2,8
15,3,2,0,2,8
15,3,3,0,2,8
15,3,4,0,2,8
15,3,5,0,2,8
15,3,6,0,2,8
15,3,7,0,2,8
15,3,8,0,2,8
15,4,1,0,2,8
15,4,2,0,2,8
15,4,3,0,2,8
15,4,4,0,2,8
15,4,5,0,2,8
15,4,6,0,2,8
15,4,7,0,2,8
15,4,8,0,2,8
15,5,1,0,2,8
15,5,2,0,2,8
15,5,3,0,2,8
15,5,4,0,2,8
15,5,5,0,2,8
15,5,6,0,2,8
15,5,7,0,2,8
15,5,8,0,2,8
15,6,1,0,2,8
15,6,2,0,2,8
15,6,3,0,2,8
15,6,4,0,2,8
