id,od,sequence,length,num_stops
43,5,"[1, 18, 14, 21, 8]",27531.962499999998,5
44,5,"[1, 18, 13, 23, 8]",27589.6855,5
45,5,"[1, 20, 31, 21, 8]",24706.639499999997,5
46,5,"[1, 18, 13, 21, 23, 8]",35453.5595,6
47,5,"[1, 24, 18, 13, 21, 8]",40497.97449999999,6
48,5,"[1, 20, 14, 13, 21, 8]",33472.486999999994,6
49,5,"[1, 20, 14, 21, 23, 8]",26008.642,6
50,5,"[1, 18, 15, 30, 22, 8]",79286.83749999998,6
51,6,"[1, 18, 13, 9]",20039.601000000002,4
52,6,"[1, 20, 14, 13, 9]",20347.248,5
53,6,"[1, 18, 14, 13, 9]",24159.288,5
54,6,"[1, 18, 13, 23, 9]",27403.4075,5
55,6,"[1, 24, 18, 13, 9]",27372.735499999995,5
56,6,"[1, 20, 18, 13, 9]",23633.938500000004,5
57,6,"[1, 18, 19, 13, 9]",26555.6575,5
58,6,"[1, 20, 14, 18, 13, 9]",27780.987,6
59,6,"[1, 20, 14, 13, 23, 9]",27711.0545,6
60,6,"[1, 18, 14, 21, 13, 9]",29908.1785,6
61,7,"[1, 18, 15, 30, 4, 10]",75448.89699999997,6
62,7,"[1, 24, 2, 3, 17, 10]",78188.46850000002,6
63,7,"[1, 18, 15, 3, 17, 10]",67358.36250000002,6
64,7,"[1, 18, 15, 30, 17, 10]",81596.39849999998,6
65,7,"[1, 24, 15, 30, 4, 10]",73638.34949999998,6
66,7,"[1, 24, 15, 3, 17, 10]",65547.81500000002,6
67,7,"[1, 24, 15, 30, 17, 10]",79785.851,6
68,7,"[1, 18, 19, 15, 30, 4, 10]",86675.31799999997,7
69,7,"[1, 18, 15, 30, 4, 17, 10]",86035.83949999999,7
70,7,"[1, 20, 18, 15, 30, 4, 10]",79043.23449999996,7
71,8,"[1, 24, 2, 3, 11]",61391.506,5
72,8,"[1, 18, 15, 3, 11]",50561.399999999994,5
73,8,"[1, 24, 15, 3, 11]",48750.85249999999,5
74,8,"[1, 24, 2, 5, 11]",40073.69499999999,5
75,8,"[1, 18, 15, 5, 11]",61174.856499999994,5
76,8,"[1, 24, 15, 5, 11]",59364.308999999994,5
77,8,"[1, 24, 2, 3, 5, 11]",87856.95150000001,6
78,8,"[1, 20, 18, 15, 3, 11]",54155.73749999999,6
79,8,"[1, 18, 24, 2, 3, 11]",74115.0805,6
80,8,"[1, 18, 15, 3, 5, 11]",77026.8455,6
81,9,"[1, 20, 31, 12]",29855.019,4
82,9,"[1, 18, 19, 29, 12]",39765.887,5
83,9,"[1, 20, 14, 31, 12]",33465.3545,5
84,9,"[1, 18, 14, 31, 12]",37277.3945,5
85,9,"[1, 18, 20, 31, 12]",40936.027500000004,5
86,9,"[1, 24, 15, 30, 22, 12]",84826.4925,6
87,9,"[1, 18, 19, 16, 29, 12]",41193.8985,6
88,9,"[1, 18, 19, 29, 22, 12]",46039.317,6
89,9,"[1, 20, 18, 19, 29, 12]",43360.224500000004,6
90,9,"[1, 20, 14, 21, 31, 12]",36895.32,6
91,10,"[1, 18, 13]",17975.9945,3
92,10,"[1, 20, 14, 13]",18283.641499999998,4
93,10,"[1, 18, 14, 13]",22095.681500000002,4
94,10,"[1, 24, 18, 13]",25309.128999999997,4
95,10,"[1, 20, 18, 13]",21570.332000000002,4
96,10,"[1, 18, 19, 13]",24492.051,4
97,10,"[1, 20, 14, 18, 13]",25717.380500000003,5
98,10,"[1, 18, 14, 21, 13]",27844.572,5
99,10,"[1, 24, 15, 18, 13]",35589.947,5
100,10,"[1, 24, 18, 14, 13]",29428.816,5
101,11,"[1, 18, 14]",15554.371000000001,3
102,11,"[1, 20, 14]",11742.330999999998,3
103,11,"[1, 18, 13, 14]",24517.305,4
104,11,"[1, 24, 18, 14]",22887.5055,4
105,11,"[1, 20, 18, 14]",19148.7085,4
106,11,"[1, 18, 20, 14]",22823.339500000002,4
107,11,"[1, 20, 31, 14]",18378.029499999997,4
108,11,"[1, 18, 13, 21, 14]",30266.1955,5
109,11,"[1, 24, 15, 18, 14]",33168.3235,5
110,11,"[1, 24, 18, 13, 14]",31850.439499999997,5
111,12,"[1, 18, 15]",19489.907999999996,3
112,12,"[1, 24, 15]",17679.3605,3
113,12,"[1, 18, 19, 15]",30716.328999999998,4
114,12,"[1, 20, 18, 15]",23084.245499999997,4
115,12,"[1, 24, 2, 15]",34133.835999999996,4
116,12,"[1, 18, 24, 15]",30402.934999999998,4
117,12,"[1, 24, 18, 15]",26823.042499999996,4
118,12,"[1, 18, 19, 32, 15]",40068.198000000004,5
119,12,"[1, 20, 14, 18, 15]",27231.294,5
120,12,"[1, 20, 18, 19, 15]",34310.6665,5
121,13,"[1, 24, 2, 3, 17]",71568.43650000001,5
122,13,"[1, 18, 15, 3, 17]",60738.33050000001,5
123,13,"[1, 24, 15, 3, 17]",58927.78300000001,5
124,13,"[1, 18, 15, 30, 17]",74976.36649999997,5
125,13,"[1, 24, 15, 30, 17]",73165.81899999999,5
126,13,"[1, 24, 2, 5, 3, 17]",87969.42100000002,6
127,13,"[1, 24, 2, 3, 30, 17]",105553.8885,6
128,13,"[1, 20, 18, 15, 3, 17]",64332.668000000005,6
129,13,"[1, 18, 24, 2, 3, 17]",84292.01100000001,6
130,13,"[1, 18, 15, 3, 30, 17]",94723.7825,6
131,14,"[1, 18]",9777.658,2
132,14,"[1, 20, 18]",13371.9955,3
133,14,"[1, 24, 18]",17110.792499999996,3
134,14,"[1, 20, 14, 18]",17519.044,4
135,14,"[1, 24, 15, 18]",27391.610499999995,4
136,14,"[1, 20, 31, 14, 18]",24154.7425,5
137,14,"[1, 20, 14, 13, 18]",26481.978,5
138,14,"[1, 24, 2, 15, 18]",43846.085999999996,5
139,14,"[1, 24, 15, 19, 18]",38618.0315,5
140,14,"[1, 20, 31, 21, 13, 18]",33217.5855,6
141,15,"[1, 18, 19]",17806.73,3
142,15,"[1, 20, 18, 19]",21401.0675,4
143,15,"[1, 18, 13, 19]",24661.315500000004,4
144,15,"[1, 24, 15, 19]",30588.959499999997,4
145,15,"[1, 18, 15, 19]",32399.506999999994,4
146,15,"[1, 24, 18, 19]",25139.864499999996,4
147,15,"[1, 20, 14, 13, 19]",24968.9625,5
148,15,"[1, 20, 18, 13, 19]",28255.653000000006,5
149,15,"[1, 18, 13, 16, 19]",27471.335000000003,5
150,15,"[1, 24, 15, 18, 19]",35420.682499999995,5
151,16,"[1, 20]",6034.322499999998,2
152,16,"[1, 18, 20]",17115.331000000002,3
153,16,"[1, 24, 18, 20]",24448.4655,4
154,16,"[1, 18, 14, 20]",21262.379500000003,4
155,16,"[1, 24, 15, 18, 20]",34729.2835,5
156,16,"[1, 24, 18, 14, 20]",28595.514,5
157,16,"[1, 18, 13, 14, 20]",30225.3135,5
158,16,"[1, 18, 14, 31, 20]",27898.078,5
159,16,"[1, 24, 2, 15, 18, 20]",51183.759,6
160,16,"[1, 24, 15, 19, 18, 20]",45955.7045,6
161,17,"[1, 18, 13, 21]",25726.722,4
162,17,"[1, 20, 14, 21]",16281.804499999998,4
163,17,"[1, 18, 14, 21]",20093.8445,4
164,17,"[1, 20, 31, 21]",17268.5215,4
165,17,"[1, 18, 13, 14, 21]",29056.7785,5
166,17,"[1, 24, 18, 13, 21]",33059.856499999994,5
167,17,"[1, 20, 14, 13, 21]",26034.369,5
168,17,"[1, 18, 19, 13, 21]",32242.7785,5
169,17,"[1, 18, 14, 13, 21]",29846.409000000003,5
170,17,"[1, 20, 18, 13, 21]",29321.059500000003,5
171,18,"[1, 18, 13, 23, 22]",32969.28450000001,5
172,18,"[1, 20, 31, 12, 22]",45613.445,5
173,18,"[1, 18, 15, 30, 22]",70878.61399999997,5
174,18,"[1, 24, 15, 30, 22]",69068.06649999999,5
175,18,"[1, 18, 19, 29, 22]",30280.891000000003,5
176,18,"[1, 18, 13, 9, 23, 22]",33914.79800000001,6
177,18,"[1, 18, 13, 23, 8, 22]",35997.909,6
178,18,"[1, 20, 14, 13, 23, 22]",33276.931500000006,6
179,18,"[1, 20, 31, 21, 8, 22]",33114.863,6
180,18,"[1, 20, 31, 12, 29, 22]",48454.239,6
181,19,"[1, 18, 13, 23]",23248.7475,4
182,19,"[1, 20, 14, 13, 23]",23556.3945,5
183,19,"[1, 18, 14, 13, 23]",27368.434500000003,5
184,19,"[1, 18, 13, 9, 23]",24194.261000000002,5
185,19,"[1, 24, 18, 13, 23]",30581.881999999998,5
186,19,"[1, 20, 18, 13, 23]",26843.085000000003,5
187,19,"[1, 20, 14, 21, 23]",21667.703999999998,5
188,19,"[1, 18, 19, 13, 23]",29764.804,5
189,19,"[1, 18, 14, 21, 23]",25479.744,5
190,19,"[1, 18, 13, 16, 23]",27623.580500000004,5
191,20,"[1, 24]",7082.438,2
192,20,"[1, 18, 24]",19806.012499999997,3
193,20,"[1, 20, 18, 24]",23400.35,4
194,20,"[1, 18, 15, 24]",30086.830499999996,4
195,20,"[1, 20, 14, 18, 24]",27547.398499999996,5
196,20,"[1, 20, 18, 15, 24]",33681.168,5
197,20,"[1, 18, 19, 15, 24]",41313.2515,5
198,20,"[1, 18, 15, 2, 24]",46541.30599999999,5
199,20,"[1, 20, 31, 14, 18, 24]",34183.096999999994,6
200,20,"[1, 20, 14, 13, 18, 24]",36510.3325,6
201,21,"[1, 18, 15, 30, 25]",67651.33999999998,5
202,21,"[1, 24, 15, 30, 25]",65840.79249999998,5
203,21,"[1, 18, 13, 23, 22, 25]",38076.566000000006,6
204,21,"[1, 18, 15, 3, 30, 25]",87398.756,6
205,21,"[1, 18, 15, 30, 22, 25]",75985.89549999997,6
206,21,"[1, 20, 31, 12, 22, 25]",50720.726500000004,6
207,21,"[1, 24, 2, 3, 30, 25]",98228.86200000001,6
208,21,"[1, 24, 15, 3, 30, 25]",85588.2085,6
209,21,"[1, 24, 15, 30, 22, 25]",74175.34799999998,6
210,21,"[1, 18, 19, 29, 22, 25]",35388.1725,6
211,22,"[1, 18, 15, 5, 27]",62667.28049999999,5
212,22,"[1, 24, 2, 5, 27]",41566.11899999999,5
213,22,"[1, 24, 15, 5, 27]",60856.73299999999,5
214,22,"[1, 18, 24, 2, 5, 27]",54289.693499999994,6
215,22,"[1, 18, 15, 2, 5, 27]",63817.21099999998,6
216,22,"[1, 18, 15, 5, 11, 27]",78234.231,6
217,22,"[1, 20, 18, 15, 5, 27]",66261.618,6
218,22,"[1, 24, 2, 3, 5, 27]",89349.37550000001,6
219,22,"[1, 24, 2, 5, 11, 27]",57133.06949999999,6
220,22,"[1, 24, 18, 15, 5, 27]",70000.415,6
221,23,"[1, 18, 19, 29]",25723.779000000002,4
222,23,"[1, 20, 18, 19, 29]",29318.116500000004,5
223,23,"[1, 18, 13, 16, 29]",27260.741500000004,5
224,23,"[1, 18, 19, 16, 29]",27151.790500000003,5
225,23,"[1, 24, 15, 19, 29]",38506.008499999996,5
226,23,"[1, 20, 31, 12, 29]",43897.127,5
227,23,"[1, 18, 15, 19, 29]",40316.556,5
228,23,"[1, 18, 13, 19, 29]",32578.364500000003,5
229,23,"[1, 18, 19, 32, 29]",29726.403000000002,5
230,23,"[1, 24, 18, 19, 29]",33056.913499999995,5
231,24,"[1, 18, 15, 30]",54009.734499999984,4
232,24,"[1, 24, 15, 30]",52199.18699999999,4
233,24,"[1, 18, 19, 15, 30]",65236.155499999986,5
234,24,"[1, 18, 15, 3, 30]",73757.1505,5
235,24,"[1, 20, 18, 15, 30]",57604.071999999986,5
236,24,"[1, 24, 2, 3, 30]",84587.25650000002,5
237,24,"[1, 24, 15, 3, 30]",71946.603,5
238,24,"[1, 18, 24, 15, 30]",64922.761499999986,5
239,24,"[1, 18, 19, 29, 30]",43297.488,5
240,24,"[1, 18, 15, 32, 30]",54871.94299999999,5
241,25,"[1, 20, 31]",13255.012499999999,3
242,25,"[1, 18, 14, 31]",20677.388,4
243,25,"[1, 20, 14, 31]",16865.347999999998,4
244,25,"[1, 18, 20, 31]",24336.021,4
245,25,"[1, 24, 18, 14, 31]",28010.5225,5
246,25,"[1, 18, 14, 20, 31]",28483.069500000005,5
247,25,"[1, 20, 18, 14, 31]",24271.7255,5
248,25,"[1, 20, 14, 21, 31]",20295.313499999997,5
249,25,"[1, 18, 13, 14, 31]",29640.322,5
250,25,"[1, 18, 20, 14, 31]",27946.3565,5
251,26,"[1, 18, 15, 32]",36495.986,4
252,26,"[1, 24, 15, 32]",34685.438500000004,4
253,26,"[1, 18, 19, 32]",23062.120000000003,4
254,26,"[1, 18, 15, 19, 32]",37654.897,5
255,26,"[1, 20, 18, 15, 32]",40090.3235,5
256,26,"[1, 24, 2, 15, 32]",51139.914,5
257,26,"[1, 24, 15, 19, 32]",35844.3495,5
258,26,"[1, 18, 13, 19, 32]",29916.705500000007,5
259,26,"[1, 18, 19, 15, 32]",47722.407,5
260,26,"[1, 18, 15, 30, 32]",72385.69149999999,5
261,27,"[2, 24, 1]",15686.326,3
262,27,"[2, 15, 18, 1]",37937.41799999999,4
263,27,"[2, 24, 18, 1]",28409.900499999992,4
264,27,"[2, 15, 24, 1]",36126.8705,4
265,27,"[2, 3, 15, 18, 1]",56009.03099999999,5
266,27,"[2, 15, 18, 20, 1]",41531.7555,5
267,27,"[2, 24, 15, 18, 1]",38690.7185,5
268,27,"[2, 24, 18, 20, 1]",32004.237999999994,5
269,27,"[2, 15, 19, 18, 1]",49163.83899999999,5
270,27,"[2, 15, 24, 18, 1]",48850.44499999999,5
271,28,"[2, 3]",25576.4055,2
272,28,"[2, 5, 3]",41977.39,3
273,28,"[2, 15, 3]",29390.22749999999,3
274,28,"[2, 5, 11, 3]",44516.14349999999,4
275,28,"[2, 24, 15, 3]",30143.527999999995,4
276,28,"[2, 15, 5, 3]",77722.4795,4
277,28,"[2, 5, 15, 3]",48010.835999999996,4
278,28,"[2, 15, 30, 3]",96291.8615,4
279,28,"[2, 24, 18, 15, 3]",39287.20999999999,5
280,28,"[2, 24, 15, 5, 3]",78475.78000000001,5
281,29,"[2, 3, 17, 4]",64291.638500000015,4
282,29,"[2, 15, 30, 4]",69963.88149999997,4
283,29,"[2, 3, 30, 4]",85897.4755,4
284,29,"[2, 3, 17, 10, 4]",66944.76000000001,5
285,29,"[2, 5, 3, 17, 4]",80692.62300000002,5
286,29,"[2, 15, 3, 17, 4]",68105.46050000002,5
287,29,"[2, 15, 30, 17, 4]",82343.49649999998,5
288,29,"[2, 3, 15, 30, 4]",88035.49449999997,5
289,29,"[2, 3, 30, 17, 4]",98277.0905,5
290,29,"[2, 3, 17, 30, 4]",93845.2875,5
291,30,"[2, 5]",9885.269499999995,2
292,30,"[2, 3, 5]",57668.52600000001,3
293,30,"[2, 15, 5]",45630.359,3
294,30,"[2, 3, 11, 5]",60207.279500000004,4
295,30,"[2, 24, 15, 5]",46383.6595,4
296,30,"[2, 15, 3, 5]",61482.348,4
297,30,"[2, 3, 15, 5]",63701.971999999994,4
298,30,"[2, 3, 11, 27, 5]",78759.078,5
299,30,"[2, 24, 18, 15, 5]",55527.341499999995,5
300,30,"[2, 24, 15, 3, 5]",62235.6485,5
301,31,"[2, 15, 7]",20711.675499999994,3
302,31,"[2, 3, 15, 7]",38783.288499999995,4
303,31,"[2, 5, 15, 7]",39332.284,4
304,31,"[2, 24, 15, 7]",21464.976,4
305,31,"[2, 3, 5, 15, 7]",87115.54050000002,5
306,31,"[2, 5, 3, 15, 7]",55184.273,5
307,31,"[2, 24, 18, 15, 7]",30608.657999999992,5
308,31,"[2, 3, 30, 15, 7]",105684.92250000002,5
309,31,"[2, 5, 11, 3, 15, 7]",57723.02649999999,6
310,31,"[2, 5, 3, 30, 15, 7]",122085.907,6
311,32,"[2, 3, 30, 22, 8]",94178.0335,5
312,32,"[2, 15, 30, 22, 8]",78244.43949999998,5
313,32,"[2, 3, 15, 30, 22, 8]",96316.05249999998,6
314,32,"[2, 3, 30, 25, 22, 8]",96058.04100000001,6
315,32,"[2, 3, 30, 22, 23, 8]",99831.285,6
316,32,"[2, 5, 3, 30, 22, 8]",110579.018,6
317,32,"[2, 15, 3, 30, 22, 8]",97991.85549999999,6
318,32,"[2, 15, 30, 25, 22, 8]",80124.44699999999,6
319,32,"[2, 15, 30, 22, 23, 8]",83897.69099999996,6
320,32,"[2, 3, 17, 30, 22, 8]",102125.84550000001,6
321,33,"[2, 3, 17, 10]",62502.142500000016,4
322,33,"[2, 5, 3, 17, 10]",78903.12700000002,5
323,33,"[2, 3, 30, 4, 10]",90340.093,5
324,33,"[2, 3, 17, 4, 10]",68734.25600000002,5
325,33,"[2, 15, 30, 4, 10]",74406.49899999998,5
326,33,"[2, 3, 30, 17, 10]",96487.5945,5
327,33,"[2, 15, 3, 17, 10]",66315.96450000002,5
328,33,"[2, 15, 30, 17, 10]",80554.00049999998,5
329,33,"[2, 5, 11, 3, 17, 10]",81441.88050000001,6
330,33,"[2, 5, 3, 30, 4, 10]",106741.07749999998,6
331,34,"[2, 3, 11]",45705.18,3
332,34,"[2, 5, 11]",24387.368999999995,3
333,34,"[2, 3, 5, 11]",72170.62550000001,4
334,34,"[2, 15, 3, 11]",49519.00199999999,4
335,34,"[2, 5, 3, 11]",62106.1645,4
336,34,"[2, 15, 5, 11]",60132.45849999999,4
337,34,"[2, 5, 27, 11]",42939.167499999996,4
338,34,"[2, 3, 15, 5, 11]",78204.07149999999,5
339,34,"[2, 3, 5, 27, 11]",90722.424,5
340,34,"[2, 24, 15, 3, 11]",50272.30249999999,5
341,35,"[2, 3, 30, 22, 12]",101528.236,5
342,35,"[2, 15, 30, 22, 12]",85594.64199999996,5
343,35,"[2, 3, 30, 29, 12]",100516.74750000003,5
344,35,"[2, 15, 19, 29, 12]",53316.265999999996,5
345,35,"[2, 15, 30, 29, 12]",84583.15349999999,5
346,35,"[2, 15, 32, 29, 12]",56159.979,5
347,35,"[2, 3, 15, 19, 29, 12]",71387.87899999999,6
348,35,"[2, 3, 30, 22, 29, 12]",104369.03,6
349,35,"[2, 5, 3, 30, 22, 12]",117929.2205,6
350,35,"[2, 15, 30, 22, 29, 12]",88435.43599999999,6
351,36,"[2, 15, 18, 13]",36358.0965,4
352,36,"[2, 24, 18, 13]",26830.578999999994,4
353,36,"[2, 15, 19, 13]",38042.42999999999,4
354,36,"[2, 15, 18, 14, 13]",40477.7835,5
355,36,"[2, 3, 15, 18, 13]",54429.7095,5
356,36,"[2, 24, 1, 18, 13]",33662.3205,5
357,36,"[2, 24, 18, 14, 13]",30950.265999999996,5
358,36,"[2, 15, 24, 18, 13]",47271.12349999999,5
359,36,"[2, 15, 19, 16, 13]",40852.449499999995,5
360,36,"[2, 15, 18, 19, 13]",42874.153,5
361,37,"[2, 15, 18, 14]",33936.473,4
362,37,"[2, 24, 18, 14]",24408.955499999996,4
363,37,"[2, 15, 19, 13, 14]",44583.74049999999,5
364,37,"[2, 15, 18, 13, 14]",42899.407,5
365,37,"[2, 3, 15, 18, 14]",52008.085999999996,5
366,37,"[2, 24, 1, 18, 14]",31240.697,5
367,37,"[2, 24, 18, 13, 14]",33371.8895,5
368,37,"[2, 15, 24, 18, 14]",44849.49999999999,5
369,37,"[2, 15, 19, 18, 14]",45162.894,5
370,37,"[2, 15, 18, 20, 14]",41205.4415,5
371,38,"[2, 15]",18447.509999999995,2
372,38,"[2, 3, 15]",36519.12299999999,3
373,38,"[2, 5, 15]",37068.1185,3
374,38,"[2, 24, 15]",19200.8105,3
375,38,"[2, 3, 5, 15]",84851.37500000001,4
376,38,"[2, 5, 3, 15]",52920.1075,4
377,38,"[2, 24, 18, 15]",28344.492499999993,4
378,38,"[2, 3, 30, 15]",103420.75700000001,4
379,38,"[2, 5, 11, 3, 15]",55458.86099999999,5
380,38,"[2, 5, 3, 30, 15]",119821.7415,5
381,39,"[2, 15, 19, 16]",36134.935999999994,4
382,39,"[2, 24, 18, 13, 16]",31548.092499999995,5
383,39,"[2, 15, 18, 13, 16]",41075.61,5
384,39,"[2, 15, 19, 13, 16]",42759.943499999994,5
385,39,"[2, 3, 15, 19, 16]",54206.549,5
386,39,"[2, 24, 15, 19, 16]",36888.2365,5
387,39,"[2, 24, 18, 19, 16]",31439.141499999994,5
388,39,"[2, 15, 32, 19, 16]",45486.80500000001,5
389,39,"[2, 15, 18, 19, 16]",40966.659,5
390,39,"[2, 15, 19, 29, 16]",43841.3915,5
391,40,"[2, 3, 17]",55882.11050000002,3
392,40,"[2, 5, 3, 17]",72283.09500000002,4
393,40,"[2, 3, 30, 17]",89867.5625,4
394,40,"[2, 15, 3, 17]",59695.93250000001,4
395,40,"[2, 15, 30, 17]",73933.96849999997,4
396,40,"[2, 5, 11, 3, 17]",74821.84850000001,5
397,40,"[2, 5, 3, 30, 17]",106268.54699999999,5
398,40,"[2, 3, 15, 30, 17]",92005.58149999997,5
399,40,"[2, 3, 30, 4, 17]",94307.0035,5
400,40,"[2, 24, 15, 3, 17]",60449.23300000001,5
401,41,"[2, 15, 18]",28159.759999999995,3
402,41,"[2, 24, 18]",18632.242499999993,3
403,41,"[2, 15, 19, 18]",39386.181,4
404,41,"[2, 3, 15, 18]",46231.37299999999,4
405,41,"[2, 24, 1, 18]",25463.983999999997,4
406,41,"[2, 15, 24, 18]",39072.78699999999,4
407,41,"[2, 5, 15, 18]",46780.3685,4
408,41,"[2, 24, 15, 18]",28913.0605,4
409,41,"[2, 15, 19, 13, 18]",46240.7665,5
410,41,"[2, 3, 5, 15, 18]",94563.62500000001,5
411,42,"[2, 15, 19]",31357.108999999993,3
412,42,"[2, 3, 15, 19]",49428.721999999994,4
413,42,"[2, 15, 18, 19]",36188.831999999995,4
414,42,"[2, 5, 15, 19]",49977.7175,4
415,42,"[2, 15, 32, 19]",40708.978,4
416,42,"[2, 24, 15, 19]",32110.409499999998,4
417,42,"[2, 24, 18, 19]",26661.314499999993,4
418,42,"[2, 3, 5, 15, 19]",97760.97400000002,5
419,42,"[2, 3, 15, 18, 19]",54260.44499999999,5
420,42,"[2, 15, 18, 13, 19]",43043.4175,5
421,43,"[2, 15, 18, 20]",35497.433,4
422,43,"[2, 24, 1, 20]",21720.648499999996,4
423,43,"[2, 24, 18, 20]",25969.915499999996,4
424,43,"[2, 15, 24, 1, 20]",42161.193,5
425,43,"[2, 15, 18, 1, 20]",43971.740499999985,5
426,43,"[2, 3, 15, 18, 20]",53569.045999999995,5
427,43,"[2, 24, 1, 18, 20]",32801.657,5
428,43,"[2, 24, 15, 18, 20]",36250.7335,5
429,43,"[2, 24, 18, 1, 20]",34444.22299999999,5
430,43,"[2, 15, 19, 18, 20]",46723.854,5
431,44,"[2, 15, 18, 13, 21]",44108.824,5
432,44,"[2, 24, 18, 13, 21]",34581.30649999999,5
433,44,"[2, 15, 19, 13, 21]",45793.157499999994,5
434,44,"[2, 15, 18, 14, 21]",38475.9465,5
435,44,"[2, 24, 18, 14, 21]",28948.428999999996,5
436,44,"[2, 15, 18, 13, 14, 21]",47438.8805,6
437,44,"[2, 3, 30, 22, 8, 21]",101616.1515,6
438,44,"[2, 24, 1, 18, 13, 21]",41413.048,6
439,44,"[2, 24, 18, 13, 14, 21]",37911.363,6
440,44,"[2, 15, 24, 18, 13, 21]",55021.85099999999,6
441,45,"[2, 3, 30, 22]",85769.81,4
442,45,"[2, 15, 30, 22]",69836.21599999997,4
443,45,"[2, 3, 15, 30, 22]",87907.82899999997,5
444,45,"[2, 3, 30, 25, 22]",87649.8175,5
445,45,"[2, 5, 3, 30, 22]",102170.79449999999,5
446,45,"[2, 15, 3, 30, 22]",89583.63199999998,5
447,45,"[2, 15, 30, 25, 22]",71716.22349999998,5
448,45,"[2, 3, 17, 30, 22]",93717.622,5
449,45,"[2, 3, 30, 29, 22]",91031.75150000001,5
450,45,"[2, 24, 15, 30, 22]",70589.51649999997,5
451,46,"[2, 15, 18, 13, 23]",41630.8495,5
452,46,"[2, 3, 30, 22, 23]",95490.34700000001,5
453,46,"[2, 15, 19, 13, 23]",43315.18299999999,5
454,46,"[2, 24, 18, 13, 23]",32103.331999999995,5
455,46,"[2, 3, 30, 29, 23]",92947.30750000002,5
456,46,"[2, 15, 30, 22, 23]",79556.75299999997,5
457,46,"[2, 15, 19, 16, 23]",41065.008499999996,5
458,46,"[2, 15, 32, 29, 23]",48590.539000000004,5
459,46,"[2, 15, 30, 29, 23]",77013.71349999998,5
460,46,"[2, 15, 19, 29, 23]",45746.826,5
461,47,"[2, 24]",8603.887999999999,2
462,47,"[2, 15, 24]",29044.432499999995,3
463,47,"[2, 3, 15, 24]",47116.04549999999,4
464,47,"[2, 15, 18, 24]",38188.11449999999,4
465,47,"[2, 5, 15, 24]",47665.041,4
466,47,"[2, 3, 5, 15, 24]",95448.29750000002,5
467,47,"[2, 3, 15, 18, 24]",56259.727499999986,5
468,47,"[2, 15, 19, 18, 24]",49414.53549999999,5
469,47,"[2, 15, 18, 1, 24]",45019.85599999999,5
470,47,"[2, 5, 3, 15, 24]",63517.03,5
471,48,"[2, 3, 30, 25]",82542.53600000001,4
472,48,"[2, 15, 30, 25]",66608.94199999998,4
473,48,"[2, 3, 15, 30, 25]",84680.55499999998,5
474,48,"[2, 3, 30, 22, 25]",90877.0915,5
475,48,"[2, 5, 3, 30, 25]",98943.5205,5
