id,origin,destination,demand,paths
138,5,35,82,10
139,5,36,191,10
140,5,41,139,10
141,5,46,180,10
142,5,48,605,10
143,5,49,80,10
144,5,50,116,10
145,5,54,67,10
146,5,58,731,10
147,5,62,129,10
148,5,69,12,10
149,5,72,82,10
150,5,81,22,10
151,5,87,136,10
152,5,89,36,10
153,5,91,1274,10
154,5,93,156,10
155,5,94,297,10
156,5,96,1249,10
157,5,107,29,10
158,5,108,155,10
159,5,109,129,10
160,5,114,301,10
161,5,115,262,10
162,5,119,155,10
163,5,129,251,10
164,5,130,30,10
165,5,136,20,10
166,5,137,22,10
167,5,141,189,10
168,5,142,2536,10
169,5,145,31,10
170,5,153,287,10
171,5,154,2710,10
172,5,157,211,10
173,6,3,18,10
174,6,5,122,10
175,6,9,1661,10
176,6,29,135,10
177,6,31,475,10
178,6,36,61,10
179,6,52,1143,10
180,6,68,66,10
181,6,69,182,10
182,6,70,58,10
183,6,72,908,10
184,6,84,739,10
185,6,96,217,10
186,6,105,157,10
187,6,114,252,10
188,6,116,149,10
189,6,118,54,10
190,6,119,283,10
191,6,136,146,10
192,6,139,169,10
193,6,152,199,10
194,6,158,133,10
195,8,3,240,10
196,8,4,771,10
197,8,5,452,10
198,8,9,6994,10
199,8,11,105,10
200,8,13,1733,10
201,8,14,886,10
202,8,19,1209,10
203,8,21,485,10
204,8,22,40981,10
205,8,23,1690,10
206,8,24,1017,10
207,8,25,415,10
208,8,29,424,10
209,8,30,571,10
210,8,31,284,10
211,8,36,1132,10
212,8,39,2455,10
213,8,40,313,10
214,8,41,165,10
215,8,42,1140,10
216,8,43,1740,10
217,8,46,104,10
218,8,47,2481,10
219,8,48,789,10
220,8,50,137,10
221,8,52,1158,10
222,8,53,756,10
223,8,57,1928,10
224,8,58,387,10
225,8,60,1521,10
226,8,61,63,10
227,8,62,2373,10
228,8,64,363,10
229,8,67,239,10
230,8,68,1573,10
231,8,69,4937,10
232,8,70,48,10
233,8,72,308,10
234,8,73,60,10
235,8,75,288,10
236,8,79,1982,10
237,8,81,1793,10
238,8,83,220,10
239,8,84,2460,10
240,8,85,339,10
241,8,87,4272,10
242,8,88,5324,10
243,8,89,78,10
244,8,90,313,10
245,8,91,2922,10
246,8,92,4703,10
247,8,93,1047,10
248,8,94,557,10
249,8,96,1514,10
250,8,98,825,10
251,8,99,956,10
252,8,101,325,10
253,8,102,360,10
254,8,104,1513,10
255,8,105,416,10
256,8,106,363,10
257,8,107,742,10
258,8,108,970,10
259,8,109,521,10
260,8,115,329,10
261,8,116,414,10
262,8,117,569,10
263,8,118,14901,10
264,8,119,479,10
265,8,122,228,10
266,8,124,202,10
267,8,128,4822,10
268,8,130,20,10
269,8,131,2530,10
270,8,132,528,10
271,8,133,6858,10
272,8,134,4560,10
273,8,135,152,10
274,8,136,4,10
275,8,137,786,10
276,8,142,1006,10
277,8,143,492,10
278,8,145,178,10
279,8,147,1591,10
280,8,153,147,10
281,8,154,322,10
282,8,156,365,10
283,8,157,144,10
284,8,158,4948,10
285,9,1,759,10
286,9,3,2477,10
287,9,4,919,10
288,9,5,100,10
289,9,6,2393,10
290,9,8,5263,10
291,9,11,206,10
292,9,13,402,10
293,9,14,429,10
294,9,17,678,10
295,9,19,1613,10
296,9,20,1504,10
297,9,21,198,10
298,9,22,4747,10
299,9,23,270,10
300,9,24,1514,10
301,9,25,407,10
302,9,29,294,10
303,9,30,2753,10
304,9,31,5649,10
305,9,33,450,10
306,9,35,298,10
307,9,36,5050,10
308,9,39,277,10
309,9,40,650,10
310,9,41,3751,10
311,9,42,926,10
312,9,43,56,10
313,9,44,52,10
314,9,46,356,10
315,9,47,1623,10
316,9,48,1317,10
317,9,49,139,10
318,9,50,1319,10
319,9,52,9859,10
320,9,53,1978,10
321,9,54,1187,10
322,9,57,205,10
323,9,58,1648,10
324,9,59,3,10
325,9,60,418,10
326,9,61,5317,10
327,9,62,11389,10
328,9,64,277,10
329,9,65,390,10
330,9,66,138,10
331,9,68,8662,10
332,9,69,1218,10
333,9,70,7779,10
334,9,72,20736,10
335,9,73,86,10
336,9,75,40,10
337,9,76,175,10
338,9,78,720,10
339,9,79,370,10
340,9,81,1541,10
341,9,83,2326,10
342,9,84,6516,10
343,9,85,255,10
344,9,87,2100,10
345,9,88,206,10
346,9,90,626,10
347,9,91,3235,10
348,9,92,1082,10
349,9,94,2711,10
350,9,96,848,10
351,9,97,128,10
352,9,98,107,10
353,9,99,175,10
354,9,104,3046,10
355,9,105,2233,10
356,9,106,727,10
357,9,107,535,10
358,9,108,1930,10
359,9,109,1334,10
360,9,114,2948,10
361,9,115,900,10
362,9,116,171,10
363,9,117,1216,10
364,9,118,225,10
365,9,119,14932,10
366,9,120,584,10
367,9,122,12,10
368,9,123,40,10
369,9,124,46,10
370,9,125,234,10
371,9,127,213,10
372,9,128,6512,10
373,9,129,806,10
374,9,130,166,10
375,9,131,452,10
376,9,132,612,10
377,9,133,228,10
378,9,134,169,10
379,9,135,1146,10
380,9,136,3295,10
381,9,137,1041,10
382,9,139,3990,10
383,9,141,958,10
384,9,142,6367,10
385,9,143,216,10
386,9,145,46,10
387,9,146,341,10
388,9,147,1955,10
389,9,148,1662,10
390,9,151,434,10
391,9,153,78,10
392,9,154,4162,10
393,9,156,96,10
394,9,158,3102,10
395,11,1,121,10
396,11,8,873,10
397,11,9,67,10
398,11,13,542,10
399,11,14,87,10
400,11,19,67,10
401,11,22,74,10
402,11,24,239,10
403,11,25,54,10
404,11,29,39,10
405,11,30,33,10
406,11,33,53,10
407,11,36,51,10
408,11,37,247,10
409,11,42,335,10
410,11,43,64,10
411,11,52,203,10
412,11,53,11,10
413,11,54,92,10
414,11,60,322,10
415,11,64,108,10
416,11,68,112,10
417,11,69,758,10
418,11,72,30,10
419,11,84,65,10
420,11,87,347,10
421,11,92,965,10
422,11,104,444,10
423,11,108,38,10
424,11,115,71,10
425,11,118,134,10
426,11,125,93,10
427,11,137,94,10
428,11,143,54,10
429,11,145,157,10
430,12,14,26,10
431,12,17,395,10
432,12,19,66,10
433,12,20,23,10
434,12,30,431,10
435,12,36,57,10
436,12,42,325,10
437,12,46,76,10
438,12,48,104,10
439,12,73,171,10
440,12,78,96,10
441,12,83,105,10
442,12,84,20,10
443,12,88,80,10
444,12,90,52,10
445,12,92,139,10
446,12,93,64,10
447,12,96,145,10
448,12,108,89,10
449,12,116,104,10
450,12,120,66,10
451,12,137,288,10
452,12,142,106,10
453,12,143,91,10
454,12,154,53,10
455,13,8,1445,10
456,13,9,260,10
457,13,11,401,10
458,13,14,154,10
459,13,19,420,10
460,13,20,186,10
461,13,21,81,10
462,13,22,1326,10
463,13,23,5,10
464,13,24,1020,10
465,13,35,403,10
466,13,37,113,10
467,13,43,14,10
468,13,45,27,10
469,13,50,171,10
470,13,58,887,10
471,13,60,322,10
472,13,61,6,10
473,13,64,264,10
474,13,67,105,10
475,13,69,908,10
476,13,72,162,10
477,13,73,81,10
478,13,79,323,10
479,13,87,3823,10
480,13,88,229,10
481,13,91,700,10
482,13,92,2156,10
483,13,96,105,10
484,13,98,2026,10
485,13,104,333,10
486,13,115,319,10
487,13,116,141,10
488,13,117,127,10
489,13,118,1106,10
490,13,125,341,10
491,13,127,25,10
492,13,132,626,10
493,13,137,61,10
494,13,143,192,10
495,13,145,60,10
496,13,157,164,10
497,13,158,3973,10
498,14,5,110,10
499,14,8,1295,10
500,14,9,392,10
501,14,11,74,10
502,14,12,87,10
503,14,13,329,10
504,14,16,90,10
505,14,19,40,10
506,14,21,67,10
507,14,22,839,10
508,14,24,362,10
509,14,25,179,10
510,14,29,88,10
511,14,30,391,10
512,14,35,1151,10
513,14,36,321,10
514,14,37,144,10
515,14,42,1444,10
516,14,43,30,10
517,14,46,325,10
518,14,47,1352,10
519,14,48,457,10
520,14,49,61,10
521,14,51,134,10
522,14,53,416,10
523,14,54,47,10
524,14,58,702,10
525,14,60,65,10
526,14,68,118,10
527,14,69,2226,10
528,14,72,209,10
529,14,73,2063,10
530,14,81,18,10
531,14,83,202,10
532,14,87,651,10
533,14,88,265,10
534,14,90,813,10
535,14,91,561,10
536,14,93,307,10
537,14,94,4024,10
538,14,96,763,10
539,14,97,687,10
540,14,101,67,10
541,14,102,225,10
542,14,104,180,10
543,14,107,2133,10
544,14,108,1108,10
545,14,109,191,10
546,14,115,61,10
547,14,116,105,10
548,14,117,746,10
549,14,119,125,10
550,14,120,100,10
551,14,123,27,10
552,14,124,193,10
553,14,125,721,10
554,14,128,28,10
555,14,129,69,10
556,14,132,58,10
557,14,137,618,10
558,14,139,243,10
559,14,142,3240,10
560,14,143,20,10
561,14,145,146,10
562,14,154,351,10
563,14,156,295,10
564,14,158,263,10
565,16,4,177,10
566,16,9,294,10
567,16,14,139,10
568,16,29,83,10
569,16,30,224,10
570,16,33,149,10
571,16,37,1873,10
572,16,40,185,10
573,16,41,51,10
574,16,42,184,10
575,16,43,158,10
576,16,47,168,10
577,16,53,260,10
578,16,57,19,10
579,16,68,98,10
580,16,69,7671,10
581,16,81,74,10
582,16,83,342,10
583,16,91,190,10
584,16,94,618,10
585,16,101,185,10
586,16,107,4828,10
587,16,108,12709,10
588,16,116,217,10
589,16,117,281,10
590,16,137,45,10
591,16,142,81,10
592,16,153,461,10
593,16,154,124,10
594,17,9,596,10
595,17,12,435,10
596,17,22,45,10
597,17,36,514,10
598,17,42,1831,10
599,17,46,311,10
600,17,47,317,10
601,17,48,278,10
602,17,53,75,10
603,17,58,133,10
604,17,61,184,10
605,17,62,1362,10
606,17,68,123,10
607,17,69,24,10
608,17,72,99,10
609,17,73,1423,10
610,17,83,238,10
611,17,84,742,10
612,17,87,261,10
613,17,88,180,10
614,17,90,661,10
615,17,91,616,10
616,17,93,362,10
617,17,94,170,10
618,17,96,1473,10
619,17,102,133,10
620,17,108,136,10
621,17,109,424,10
622,17,116,548,10
623,17,123,76,10
624,17,124,202,10
625,17,130,3,10
626,17,136,20,10
627,17,137,356,10
628,17,142,256,10
629,17,143,835,10
630,17,154,672,10
631,17,156,189,10
632,19,1,37,10
633,19,3,142,10
634,19,4,414,10
635,19,5,28,10
636,19,8,2505,10
637,19,9,583,10
638,19,11,189,10
639,19,12,68,10
640,19,13,236,10
641,19,14,91,10
642,19,21,131,10
643,19,22,1132,10
644,19,23,8,10
645,19,24,289,10
646,19,25,612,10
647,19,29,34,10
648,19,30,429,10
649,19,31,39,10
650,19,32,43,10
651,19,33,171,10
652,19,35,16,10
653,19,36,1155,10
654,19,39,610,10
655,19,41,151,10
656,19,42,123,10
657,19,43,66,10
658,19,46,473,10
659,19,47,357,10
660,19,48,46,10
661,19,49,256,10
662,19,50,14,10
663,19,53,105,10
664,19,54,543,10
665,19,57,94,10
666,19,58,296,10
667,19,60,247,10
668,19,61,214,10
669,19,62,296,10
670,19,65,50,10
671,19,68,1683,10
672,19,69,1318,10
673,19,72,141,10
674,19,73,105,10
675,19,75,160,10
676,19,81,206,10
677,19,83,817,10
678,19,84,1043,10
679,19,87,392,10
680,19,89,74,10
681,19,90,663,10
682,19,91,641,10
683,19,92,499,10
684,19,93,16,10
685,19,94,908,10
686,19,96,70,10
687,19,97,22,10
688,19,99,552,10
689,19,101,22,10
690,19,102,195,10
691,19,104,802,10
692,19,105,318,10
693,19,107,521,10
694,19,108,748,10
695,19,109,255,10
696,19,114,25,10
697,19,115,564,10
698,19,117,201,10
699,19,118,1007,10
700,19,119,6,10
701,19,120,94,10
702,19,123,69,10
703,19,128,281,10
704,19,129,135,10
705,19,130,125,10
706,19,131,368,10
707,19,132,177,10
708,19,136,56,10
709,19,137,6008,10
710,19,139,36,10
711,19,141,240,10
712,19,142,750,10
713,19,146,76,10
714,19,151,148,10
715,19,152,180,10
716,19,153,126,10
717,19,154,6455,10
718,19,156,352,10
719,19,157,19,10
720,20,3,49,10
721,20,9,374,10
722,20,12,57,10
723,20,13,249,10
724,20,21,67,10
725,20,29,4,10
726,20,30,87,10
727,20,41,14,10
728,20,52,356,10
729,20,69,78,10
730,20,72,606,10
731,20,87,16,10
732,20,99,213,10
733,20,109,7,10
734,20,118,264,10
735,20,119,478,10
736,20,132,3,10
737,20,147,75,10
738,20,148,242,10
739,20,157,62,10
740,21,8,789,10
741,21,9,153,10
742,21,13,67,10
743,21,14,44,10
744,21,19,235,10
745,21,20,27,10
746,21,22,193,10
747,21,24,57,10
748,21,30,29,10
749,21,31,430,10
750,21,36,31,10
751,21,42,126,10
752,21,43,11,10
753,21,46,82,10
754,21,48,114,10
755,21,52,610,10
756,21,54,99,10
757,21,69,183,10
758,21,72,248,10
759,21,73,74,10
760,21,83,45,10
761,21,87,918,10
762,21,91,45,10
763,21,96,95,10
764,21,98,776,10
765,21,107,56,10
766,21,114,1217,10
767,21,115,57,10
768,21,116,138,10
769,21,118,204,10
770,21,122,90,10
771,21,127,187,10
772,21,137,45,10
773,21,142,183,10
774,21,145,77,10
775,21,154,49,10
776,21,158,1295,10
777,22,3,166,10
778,22,8,23652,10
779,22,9,4921,10
780,22,11,107,10
781,22,13,364,10
782,22,14,302,10
783,22,17,23,10
784,22,19,453,10
785,22,21,167,10
786,22,23,126,10
787,22,24,443,10
788,22,25,574,10
789,22,32,179,10
790,22,39,6115,10
791,22,42,227,10
792,22,43,119,10
793,22,47,1076,10
794,22,50,521,10
795,22,52,635,10
796,22,53,210,10
797,22,54,880,10
798,22,58,583,10
799,22,59,14,10
800,22,60,785,10
801,22,61,14175,10
802,22,67,4140,10
803,22,68,1815,10
804,22,69,1400,10
805,22,72,465,10
806,22,78,179,10
807,22,79,900,10
808,22,83,177,10
809,22,84,746,10
810,22,87,1075,10
811,22,90,9,10
812,22,91,1077,10
813,22,92,723,10
814,22,94,358,10
815,22,96,738,10
816,22,97,119,10
817,22,98,402,10
818,22,99,13875,10
819,22,104,784,10
820,22,106,2606,10
821,22,107,46,10
822,22,108,532,10
823,22,109,173,10
824,22,112,283,10
825,22,115,272,10
826,22,117,465,10
827,22,118,1002,10
828,22,119,677,10
829,22,125,129,10
830,22,128,18230,10
831,22,129,126,10
832,22,131,3182,10
833,22,133,1119,10
834,22,134,5873,10
835,22,135,2622,10
836,22,137,417,10
837,22,139,219,10
838,22,142,554,10
839,22,143,252,10
840,22,146,261,10
841,22,147,306,10
842,22,148,83,10
843,22,157,194,10
844,23,8,1840,10
845,23,9,51,10
846,23,13,23,10
847,23,19,12,10
848,23,22,376,10
849,23,24,125,10
850,23,30,101,10
851,23,42,8,10
852,23,43,30,10
853,23,48,21,10
854,23,53,101,10
855,23,60,298,10
856,23,69,188,10
857,23,72,75,10
858,23,79,240,10
859,23,87,251,10
860,23,88,559,10
861,23,91,343,10
862,23,92,233,10
863,23,93,65,10
864,23,94,5,10
865,23,96,34,10
866,23,98,127,10
867,23,104,25,10
868,23,107,12,10
869,23,108,65,10
870,23,109,464,10
871,23,118,357,10
872,23,122,242,10
873,23,128,104,10
874,23,131,203,10
875,23,142,38,10
876,23,151,85,10
877,23,157,95,10
878,23,158,1246,10
879,24,8,652,10
880,24,9,829,10
881,24,11,56,10
882,24,13,259,10
883,24,14,51,10
884,24,19,298,10
885,24,21,358,10
886,24,22,99,10
887,24,23,22,10
888,24,29,172,10
889,24,33,331,10
890,24,35,211,10
891,24,36,48,10
892,24,41,698,10
893,24,42,643,10
894,24,43,66,10
895,24,44,130,10
896,24,45,170,10
897,24,46,114,10
898,24,47,1209,10
899,24,48,752,10
900,24,52,153,10
901,24,53,933,10
902,24,54,100,10
903,24,58,254,10
904,24,60,320,10
905,24,61,65,10
906,24,64,272,10
907,24,66,64,10
908,24,68,517,10
909,24,69,1442,10
910,24,70,32,10
911,24,72,605,10
912,24,73,366,10
913,24,79,138,10
914,24,81,21,10
915,24,87,2906,10
916,24,88,193,10
917,24,89,50,10
918,24,90,198,10
919,24,91,296,10
920,24,92,283,10
921,24,93,127,10
922,24,94,251,10
923,24,96,1686,10
924,24,98,1398,10
925,24,104,619,10
926,24,105,144,10
927,24,107,222,10
928,24,108,427,10
929,24,109,1344,10
930,24,114,1162,10
931,24,115,58,10
932,24,116,1650,10
933,24,118,31,10
934,24,119,30,10
935,24,124,37,10
936,24,125,517,10
937,24,135,68,10
938,24,136,133,10
939,24,137,379,10
940,24,139,885,10
941,24,141,39,10
942,24,142,830,10
943,24,143,471,10
944,24,145,75,10
945,24,147,42,10
946,24,148,225,10
947,24,151,794,10
948,24,154,51,10
949,24,156,451,10
950,24,158,385,10
951,25,3,210,10
952,25,4,183,10
953,25,8,640,10
954,25,9,469,10
955,25,11,89,10
956,25,14,102,10
957,25,19,912,10
958,25,22,674,10
959,25,30,987,10
960,25,31,93,10
961,25,36,4176,10
962,25,37,103,10
963,25,46,206,10
964,25,47,405,10
965,25,48,419,10
966,25,49,859,10
967,25,50,1808,10
968,25,54,643,10
969,25,57,1231,10
970,25,62,965,10
971,25,65,800,10
972,25,68,2927,10
973,25,72,37,10
974,25,73,11,10
975,25,75,159,10
976,25,76,286,10
977,25,81,117,10
978,25,83,5352,10
979,25,84,261,10
980,25,85,1552,10
981,25,90,170,10
982,25,91,917,10
983,25,94,2094,10
984,25,96,788,10
985,25,97,114,10
986,25,98,61,10
987,25,105,106,10
988,25,108,221,10
989,25,123,343,10
990,25,129,2473,10
991,25,130,14,10
992,25,132,828,10
993,25,133,355,10
994,25,136,177,10
995,25,137,1364,10
996,25,142,1454,10
997,25,143,967,10
998,25,145,99,10
999,25,146,154,10
1000,25,154,89,10
1001,25,156,153,10
1002,29,3,46,10
1003,29,5,295,10
1004,29,6,147,10
1005,29,8,590,10
1006,29,9,62,10
1007,29,11,169,10
1008,29,14,59,10
1009,29,16,169,10
1010,29,19,45,10
1011,29,20,17,10
1012,29,24,150,10
1013,29,30,36,10
1014,29,32,255,10
1015,29,35,179,10
1016,29,36,109,10
1017,29,37,151,10
1018,29,42,148,10
1019,29,43,23,10
1020,29,46,87,10
1021,29,48,529,10
1022,29,49,257,10
1023,29,50,147,10
1024,29,53,33,10
1025,29,54,61,10
1026,29,58,567,10
1027,29,60,797,10
1028,29,62,840,10
1029,29,65,130,10
1030,29,68,1131,10
1031,29,69,138,10
1032,29,72,104,10
1033,29,73,658,10
1034,29,76,60,10
1035,29,83,399,10
1036,29,84,31,10
1037,29,85,118,10
1038,29,87,175,10
1039,29,89,196,10
1040,29,90,15,10
1041,29,91,811,10
1042,29,94,111,10
1043,29,96,1417,10
1044,29,98,174,10
1045,29,101,32,10
1046,29,104,136,10
1047,29,107,72,10
1048,29,108,144,10
1049,29,109,28,10
1050,29,115,565,10
1051,29,117,113,10
1052,29,118,618,10
1053,29,120,60,10
1054,29,123,171,10
1055,29,124,88,10
1056,29,125,58,10
1057,29,127,31,10
1058,29,128,269,10
1059,29,129,446,10
1060,29,132,13,10
1061,29,134,242,10
1062,29,135,71,10
1063,29,137,263,10
1064,29,142,745,10
1065,29,146,10,10
1066,29,151,66,10
1067,29,154,932,10
1068,29,158,81,10
1069,30,4,730,10
1070,30,8,1173,10
1071,30,9,1247,10
1072,30,11,358,10
1073,30,12,32,10
1074,30,14,28,10
1075,30,16,33,10
1076,30,19,443,10
1077,30,21,27,10
1078,30,23,15,10
1079,30,25,534,10
1080,30,29,31,10
1081,30,32,495,10
1082,30,34,129,10
1083,30,36,602,10
1084,30,37,842,10
1085,30,42,147,10
1086,30,43,81,10
1087,30,46,808,10
1088,30,47,222,10
1089,30,50,161,10
1090,30,51,20,10
1091,30,52,923,10
1092,30,53,151,10
1093,30,54,26,10
1094,30,58,1052,10
1095,30,62,99,10
1096,30,65,147,10
1097,30,68,848,10
1098,30,69,670,10
1099,30,72,581,10
1100,30,73,458,10
1101,30,78,960,10
1102,30,81,1481,10
1103,30,83,2429,10
1104,30,84,277,10
1105,30,87,1127,10
1106,30,91,407,10
1107,30,92,450,10
1108,30,93,202,10
1109,30,94,4222,10
1110,30,96,838,10
1111,30,97,157,10
1112,30,99,404,10
1113,30,101,110,10
1114,30,102,669,10
1115,30,104,39,10
1116,30,105,424,10
1117,30,106,28,10
1118,30,107,360,10
1119,30,108,2719,10
1120,30,109,611,10
1121,30,112,664,10
1122,30,115,228,10
1123,30,116,134,10
1124,30,117,254,10
1125,30,118,23,10
1126,30,119,692,10
1127,30,124,273,10
1128,30,129,543,10
1129,30,130,41,10
1130,30,132,176,10
1131,30,136,23,10
1132,30,137,685,10
1133,30,141,1683,10
1134,30,142,2300,10
1135,30,146,320,10
1136,30,148,83,10
1137,30,151,538,10
1138,30,158,1236,10
1139,31,6,286,10
1140,31,8,191,10
1141,31,9,2832,10
1142,31,19,27,10
1143,31,25,90,10
1144,31,41,1162,10
1145,31,48,524,10
1146,31,49,89,10
1147,31,52,1881,10
1148,31,61,3,10
1149,31,62,891,10
1150,31,69,324,10
1151,31,72,464,10
1152,31,73,197,10
1153,31,87,141,10
1154,31,88,161,10
1155,31,91,414,10
1156,31,94,211,10
1157,31,98,83,10
1158,31,107,231,10
1159,31,109,90,10
1160,31,119,241,10
1161,31,139,1282,10
1162,31,142,230,10
1163,31,148,66,10
1164,32,19,111,10
1165,32,22,467,10
1166,32,29,1304,10
1167,32,30,732,10
1168,32,37,411,10
1169,32,51,1715,10
1170,32,53,2150,10
1171,32,62,48,10
1172,32,78,4982,10
1173,32,91,210,10
1174,32,94,1094,10
1175,32,101,220,10
1176,32,104,141,10
1177,32,108,819,10
1178,32,112,5490,10
1179,32,123,115,10
1180,32,137,527,10
1181,32,141,6908,10
1182,32,142,568,10
1183,32,143,368,10
1184,33,3,377,10
1185,33,9,564,10
1186,33,11,70,10
1187,33,19,96,10
1188,33,24,561,10
1189,33,34,96,10
1190,33,36,106,10
1191,33,37,108,10
1192,33,40,241,10
1193,33,42,776,10
1194,33,43,15,10
1195,33,50,66,10
1196,33,52,525,10
1197,33,60,103,10
1198,33,66,1003,10
1199,33,69,2943,10
1200,33,83,96,10
1201,33,87,1387,10
1202,33,92,603,10
1203,33,94,187,10
1204,33,99,620,10
1205,33,101,377,10
1206,33,104,1125,10
1207,33,107,78,10
1208,33,108,400,10
1209,33,115,108,10
1210,33,118,509,10
1211,33,125,1650,10
1212,33,129,110,10
1213,33,133,232,10
1214,33,137,1853,10
1215,33,143,149,10
1216,33,145,235,10
1217,33,156,403,10
1218,34,5,77,10
1219,34,33,96,10
1220,34,37,103,10
1221,34,64,147,10
1222,34,69,3312,10
1223,34,73,665,10
1224,34,81,371,10
1225,34,87,1183,10
1226,34,91,140,10
1227,34,94,94,10
1228,34,96,74,10
1229,34,104,82,10
1230,34,108,434,10
1231,34,125,595,10
1232,34,131,68,10
1233,34,137,71,10
1234,34,145,64,10
1235,35,3,160,10
1236,35,5,95,10
1237,35,9,218,10
1238,35,13,633,10
1239,35,14,794,10
1240,35,19,24,10
1241,35,24,240,10
1242,35,29,396,10
1243,35,36,132,10
1244,35,42,2073,10
1245,35,45,68,10
1246,35,46,97,10
1247,35,47,2355,10
1248,35,48,244,10
1249,35,50,152,10
1250,35,51,114,10
1251,35,53,207,10
1252,35,54,261,10
1253,35,60,1906,10
1254,35,62,284,10
1255,35,66,1977,10
1256,35,69,868,10
1257,35,73,188,10
1258,35,81,1008,10
1259,35,89,90,10
1260,35,90,31,10
1261,35,91,1712,10
1262,35,93,531,10
1263,35,94,3929,10
1264,35,96,776,10
1265,35,97,2262,10
1266,35,101,263,10
1267,35,104,1099,10
1268,35,107,2099,10
1269,35,108,748,10
1270,35,115,620,10
1271,35,117,2559,10
1272,35,125,157,10
1273,35,132,157,10
1274,35,137,788,10
1275,35,141,107,10
1276,35,142,167,10
1277,35,143,110,10
1278,35,146,410,10
1279,35,151,322,10
1280,35,153,103,10
1281,35,154,896,10
1282,35,156,140,10
1283,36,1,104,10
1284,36,3,2373,10
1285,36,4,231,10
1286,36,6,252,10
1287,36,8,1692,10
1288,36,9,10794,10
1289,36,11,225,10
1290,36,12,170,10
1291,36,14,851,10
1292,36,16,656,10
1293,36,17,973,10
1294,36,19,3953,10
1295,36,21,86,10
1296,36,24,226,10
1297,36,25,8890,10
1298,36,29,40,10
1299,36,30,4118,10
1300,36,35,133,10
1301,36,37,730,10
1302,36,42,189,10
1303,36,43,33,10
1304,36,44,34,10
1305,36,45,155,10
1306,36,46,1235,10
1307,36,47,666,10
1308,36,48,1864,10
1309,36,49,377,10
1310,36,50,1714,10
1311,36,52,519,10
1312,36,53,60,10
1313,36,54,2107,10
1314,36,57,3626,10
1315,36,58,459,10
1316,36,60,148,10
1317,36,61,845,10
1318,36,62,9974,10
1319,36,65,1108,10
1320,36,68,19329,10
1321,36,69,945,10
1322,36,70,535,10
1323,36,72,4706,10
1324,36,73,1841,10
1325,36,76,1039,10
1326,36,79,14,10
1327,36,81,5583,10
1328,36,83,17719,10
1329,36,84,9016,10
1330,36,85,1965,10
1331,36,87,364,10
1332,36,88,104,10
1333,36,89,78,10
1334,36,90,365,10
1335,36,91,6030,10
1336,36,92,159,10
1337,36,93,539,10
1338,36,94,1272,10
