id,sequence,length,num_stops
117,"[2, 3, 6, 8, 10, 11]",20,6
118,"[2, 4, 6, 8, 10, 11]",22,6
119,"[2, 3, 6, 15, 7, 10, 11]",22,7
120,"[2, 4, 12, 11]",23,4
121,"[2, 3, 6, 15, 8, 10, 11]",23,7
122,"[2, 4, 6, 15, 7, 10, 11]",24,7
123,"[2, 4, 6, 15, 8, 10, 11]",25,7
124,"[2, 5, 4, 6, 8, 10, 11]",29,7
125,"[2, 3, 6, 4, 12, 11]",29,6
126,"[2, 3, 6, 8, 10, 13, 11]",30,7
127,"[2, 5, 4, 12, 11]",30,5
128,"[2, 4, 6, 8, 10, 13, 11]",32,7
129,"[2, 3, 6, 4, 12]",19,5
130,"[2, 5, 4, 12]",20,4
131,"[2, 3, 6, 8, 10, 11, 12]",30,7
132,"[2, 4, 6, 8, 10, 11, 12]",32,7
133,"[2, 3, 6, 8, 10, 13]",25,6
134,"[2, 3, 6, 8, 10, 11, 13]",25,7
135,"[2, 3, 6, 8, 10, 14, 13]",25,7
136,"[2, 4, 6, 8, 10, 13]",27,6
137,"[2, 3, 6, 15, 7, 10, 13]",27,7
138,"[2, 4, 6, 8, 10, 11, 13]",27,7
139,"[2, 4, 6, 8, 10, 14, 13]",27,7
140,"[2, 4, 12, 11, 13]",28,5
141,"[2, 3, 6, 15, 8, 10, 13]",28,7
142,"[2, 4, 6, 15, 7, 10, 13]",29,7
143,"[2, 4, 6, 15, 8, 10, 13]",30,7
144,"[2, 5, 4, 6, 8, 10, 13]",34,7
145,"[2, 3, 6, 4, 12, 11, 13]",34,7
146,"[2, 5, 4, 12, 11, 13]",35,6
147,"[2, 4, 12, 11, 10, 13]",38,6
148,"[2, 4, 12, 11, 10, 14, 13]",38,7
149,"[2, 5, 4, 12, 11, 10, 13]",45,7
150,"[2, 3, 6, 8, 10, 14]",23,6
151,"[2, 4, 6, 8, 10, 14]",25,6
152,"[2, 3, 6, 15, 7, 10, 14]",25,7
153,"[2, 3, 6, 15, 8, 10, 14]",26,7
154,"[2, 3, 6, 8, 10, 13, 14]",27,7
155,"[2, 4, 6, 15, 7, 10, 14]",27,7
156,"[2, 4, 6, 15, 8, 10, 14]",28,7
157,"[2, 4, 6, 8, 10, 13, 14]",29,7
158,"[2, 4, 12, 11, 13, 14]",30,6
159,"[2, 5, 4, 6, 8, 10, 14]",32,7
160,"[2, 4, 12, 11, 10, 14]",36,6
161,"[2, 5, 4, 12, 11, 13, 14]",37,7
162,"[2, 4, 12, 11, 10, 13, 14]",40,7
163,"[2, 5, 4, 12, 11, 10, 14]",43,7
164,"[2, 4, 12, 11, 13, 10, 14]",46,7
165,"[2, 3, 6, 15]",8,4
166,"[2, 3, 6, 8, 15]",9,5
167,"[2, 4, 6, 15]",10,4
168,"[2, 4, 6, 8, 15]",11,5
169,"[2, 5, 4, 6, 15]",17,5
170,"[2, 5, 4, 6, 8, 15]",18,6
171,"[2, 3, 6, 8, 10, 7, 15]",24,7
172,"[2, 4, 6, 8, 10, 7, 15]",26,7
173,"[2, 4, 12, 11, 10, 7, 15]",37,7
174,"[2, 4, 12, 11, 10, 8, 15]",38,7
175,"[3, 2, 5, 4]",12,4
176,"[3, 6, 8, 10, 11, 12, 4]",38,7
177,"[3, 2, 4, 5]",9,4
178,"[3, 6, 4, 5]",11,4
179,"[3, 6, 4, 2, 5]",16,5
180,"[3, 2, 4, 6]",9,4
181,"[3, 2, 5, 4, 6]",16,5
182,"[3, 6, 15, 7]",8,4
183,"[3, 6, 8, 15, 7]",9,5
184,"[3, 2, 4, 6, 15, 7]",14,6
185,"[3, 2, 4, 6, 8, 15, 7]",15,7
186,"[3, 6, 8, 10, 7]",20,5
187,"[3, 2, 5, 4, 6, 15, 7]",21,7
188,"[3, 6, 15, 8, 10, 7]",23,6
189,"[3, 2, 4, 6, 8, 10, 7]",26,7
190,"[3, 2, 4, 12, 11, 10, 7]",37,7
191,"[3, 6, 4, 12, 11, 10, 7]",39,7
192,"[3, 6, 15, 8]",8,4
193,"[3, 2, 4, 6, 8]",11,5
194,"[3, 2, 4, 6, 15, 8]",14,6
195,"[3, 2, 5, 4, 6, 8]",18,6
196,"[3, 2, 5, 4, 6, 15, 8]",21,7
197,"[3, 6, 15, 7, 10, 8]",23,6
198,"[3, 2, 4, 12, 11, 10, 8]",38,7
199,"[3, 6, 4, 12, 11, 10, 8]",40,7
200,"[3, 6, 15, 9]",14,4
201,"[3, 6, 8, 15, 9]",15,5
202,"[3, 2, 4, 6, 15, 9]",20,6
203,"[3, 2, 4, 6, 8, 15, 9]",21,7
204,"[3, 2, 5, 4, 6, 15, 9]",27,7
205,"[3, 6, 8, 10, 7, 15, 9]",30,7
206,"[3, 6, 8, 10]",13,4
207,"[3, 6, 15, 7, 10]",15,5
208,"[3, 6, 8, 15, 7, 10]",16,6
209,"[3, 6, 15, 8, 10]",16,5
210,"[3, 2, 4, 6, 8, 10]",19,6
211,"[3, 2, 4, 6, 15, 7, 10]",21,7
212,"[3, 2, 4, 6, 15, 8, 10]",22,7
213,"[3, 2, 5, 4, 6, 8, 10]",26,7
214,"[3, 2, 4, 12, 11, 10]",30,6
215,"[3, 6, 4, 12, 11, 10]",32,6
216,"[3, 2, 5, 4, 12, 11, 10]",37,7
217,"[3, 2, 4, 12, 11, 13, 10]",40,7
218,"[3, 6, 4, 12, 11, 13, 10]",42,7
219,"[3, 6, 8, 10, 11]",18,5
220,"[3, 6, 15, 7, 10, 11]",20,6
221,"[3, 6, 8, 15, 7, 10, 11]",21,7
222,"[3, 6, 15, 8, 10, 11]",21,6
223,"[3, 2, 4, 6, 8, 10, 11]",24,7
224,"[3, 2, 4, 12, 11]",25,5
225,"[3, 6, 4, 12, 11]",27,5
226,"[3, 6, 8, 10, 13, 11]",28,6
227,"[3, 6, 8, 10, 14, 13, 11]",28,7
228,"[3, 6, 15, 7, 10, 13, 11]",30,7
229,"[3, 6, 15, 8, 10, 13, 11]",31,7
230,"[3, 2, 5, 4, 12, 11]",32,6
231,"[3, 2, 4, 12]",15,4
232,"[3, 6, 4, 12]",17,4
233,"[3, 2, 5, 4, 12]",22,5
234,"[3, 6, 8, 10, 11, 12]",28,6
235,"[3, 6, 15, 7, 10, 11, 12]",30,7
236,"[3, 6, 15, 8, 10, 11, 12]",31,7
237,"[3, 6, 8, 10, 13, 11, 12]",38,7
238,"[3, 6, 8, 10, 13]",23,5
239,"[3, 6, 8, 10, 11, 13]",23,6
240,"[3, 6, 8, 10, 14, 13]",23,6
241,"[3, 6, 15, 7, 10, 13]",25,6
242,"[3, 6, 15, 7, 10, 11, 13]",25,7
243,"[3, 6, 15, 7, 10, 14, 13]",25,7
244,"[3, 6, 8, 15, 7, 10, 13]",26,7
245,"[3, 6, 15, 8, 10, 13]",26,6
246,"[3, 6, 15, 8, 10, 11, 13]",26,7
247,"[3, 6, 15, 8, 10, 14, 13]",26,7
248,"[3, 2, 4, 6, 8, 10, 13]",29,7
249,"[3, 2, 4, 12, 11, 13]",30,6
250,"[3, 6, 4, 12, 11, 13]",32,6
251,"[3, 2, 5, 4, 12, 11, 13]",37,7
252,"[3, 2, 4, 12, 11, 10, 13]",40,7
253,"[3, 6, 4, 12, 11, 10, 13]",42,7
254,"[3, 6, 8, 10, 14]",21,5
255,"[3, 6, 15, 7, 10, 14]",23,6
256,"[3, 6, 8, 15, 7, 10, 14]",24,7
257,"[3, 6, 15, 8, 10, 14]",24,6
258,"[3, 6, 8, 10, 13, 14]",25,6
259,"[3, 6, 8, 10, 11, 13, 14]",25,7
260,"[3, 2, 4, 6, 8, 10, 14]",27,7
261,"[3, 6, 15, 7, 10, 13, 14]",27,7
262,"[3, 6, 15, 8, 10, 13, 14]",28,7
263,"[3, 2, 4, 12, 11, 13, 14]",32,7
264,"[3, 6, 4, 12, 11, 13, 14]",34,7
265,"[3, 2, 4, 12, 11, 10, 14]",38,7
266,"[3, 6, 4, 12, 11, 10, 14]",40,7
267,"[3, 6, 8, 15]",7,4
268,"[3, 2, 4, 6, 15]",12,5
269,"[3, 2, 4, 6, 8, 15]",13,6
270,"[3, 2, 5, 4, 6, 15]",19,6
271,"[3, 2, 5, 4, 6, 8, 15]",20,7
272,"[3, 6, 8, 10, 7, 15]",22,6
273,"[4, 6, 3, 2, 5]",15,5
274,"[4, 2, 3, 6]",8,4
275,"[4, 5, 2, 3, 6]",15,5
276,"[4, 12, 11, 10, 8, 6]",35,6
277,"[4, 12, 11, 10, 7, 15, 6]",37,7
278,"[4, 12, 11, 10, 8, 15, 6]",38,7
279,"[4, 12, 11, 13, 10, 8, 6]",45,7
280,"[4, 6, 15, 7]",9,4
281,"[4, 6, 8, 15, 7]",10,5
282,"[4, 2, 3, 6, 15, 7]",13,6
283,"[4, 2, 3, 6, 8, 15, 7]",14,7
284,"[4, 5, 2, 3, 6, 15, 7]",20,7
285,"[4, 6, 8, 10, 7]",21,5
286,"[4, 6, 15, 8, 10, 7]",24,6
287,"[4, 2, 3, 6, 8, 10, 7]",25,7
288,"[4, 12, 11, 10, 7]",32,5
289,"[4, 12, 11, 10, 8, 15, 7]",37,7
290,"[4, 12, 11, 13, 10, 7]",42,6
291,"[4, 12, 11, 13, 14, 10, 7]",42,7
292,"[4, 6, 15, 8]",9,4
293,"[4, 2, 3, 6, 8]",10,5
294,"[4, 2, 3, 6, 15, 8]",13,6
295,"[4, 5, 2, 3, 6, 8]",17,6
296,"[4, 5, 2, 3, 6, 15, 8]",20,7
297,"[4, 6, 15, 7, 10, 8]",24,6
298,"[4, 12, 11, 10, 8]",33,5
299,"[4, 12, 11, 10, 7, 15, 8]",36,7
300,"[4, 12, 11, 13, 10, 8]",43,6
301,"[4, 12, 11, 13, 14, 10, 8]",43,7
302,"[4, 6, 15, 9]",15,4
303,"[4, 6, 8, 15, 9]",16,5
304,"[4, 2, 3, 6, 15, 9]",19,6
305,"[4, 2, 3, 6, 8, 15, 9]",20,7
306,"[4, 5, 2, 3, 6, 15, 9]",26,7
307,"[4, 6, 8, 10, 7, 15, 9]",31,7
308,"[4, 12, 11, 10, 7, 15, 9]",42,7
309,"[4, 12, 11, 10, 8, 15, 9]",43,7
310,"[4, 6, 8, 10]",14,4
311,"[4, 6, 15, 7, 10]",16,5
312,"[4, 6, 8, 15, 7, 10]",17,6
313,"[4, 6, 15, 8, 10]",17,5
314,"[4, 2, 3, 6, 8, 10]",18,6
315,"[4, 2, 3, 6, 15, 7, 10]",20,7
316,"[4, 2, 3, 6, 15, 8, 10]",21,7
317,"[4, 12, 11, 10]",25,4
318,"[4, 5, 2, 3, 6, 8, 10]",25,7
319,"[4, 12, 11, 13, 10]",35,5
320,"[4, 12, 11, 13, 14, 10]",35,6
321,"[4, 6, 8, 10, 11]",19,5
322,"[4, 6, 15, 7, 10, 11]",21,6
323,"[4, 6, 8, 15, 7, 10, 11]",22,7
324,"[4, 6, 15, 8, 10, 11]",22,6
325,"[4, 2, 3, 6, 8, 10, 11]",23,7
326,"[4, 6, 8, 10, 13, 11]",29,6
327,"[4, 6, 8, 10, 14, 13, 11]",29,7
328,"[4, 6, 15, 7, 10, 13, 11]",31,7
329,"[4, 6, 15, 8, 10, 13, 11]",32,7
330,"[4, 6, 8, 10, 11, 12]",29,6
331,"[4, 6, 15, 7, 10, 11, 12]",31,7
332,"[4, 6, 15, 8, 10, 11, 12]",32,7
333,"[4, 6, 8, 10, 13, 11, 12]",39,7
334,"[4, 6, 8, 10, 13]",24,5
335,"[4, 6, 8, 10, 11, 13]",24,6
336,"[4, 6, 8, 10, 14, 13]",24,6
337,"[4, 12, 11, 13]",25,4
338,"[4, 6, 15, 7, 10, 13]",26,6
339,"[4, 6, 15, 7, 10, 11, 13]",26,7
340,"[4, 6, 15, 7, 10, 14, 13]",26,7
341,"[4, 6, 8, 15, 7, 10, 13]",27,7
342,"[4, 6, 15, 8, 10, 13]",27,6
343,"[4, 6, 15, 8, 10, 11, 13]",27,7
344,"[4, 6, 15, 8, 10, 14, 13]",27,7
345,"[4, 2, 3, 6, 8, 10, 13]",28,7
346,"[4, 12, 11, 10, 13]",35,5
347,"[4, 12, 11, 10, 14, 13]",35,6
348,"[4, 6, 8, 10, 14]",22,5
349,"[4, 6, 15, 7, 10, 14]",24,6
350,"[4, 6, 8, 15, 7, 10, 14]",25,7
351,"[4, 6, 15, 8, 10, 14]",25,6
352,"[4, 2, 3, 6, 8, 10, 14]",26,7
353,"[4, 6, 8, 10, 13, 14]",26,6
354,"[4, 6, 8, 10, 11, 13, 14]",26,7
355,"[4, 12, 11, 13, 14]",27,5
356,"[4, 6, 15, 7, 10, 13, 14]",28,7
357,"[4, 6, 15, 8, 10, 13, 14]",29,7
358,"[4, 12, 11, 10, 14]",33,5
359,"[4, 12, 11, 10, 13, 14]",37,6
360,"[4, 12, 11, 13, 10, 14]",43,6
361,"[4, 6, 8, 15]",8,4
362,"[4, 2, 3, 6, 15]",11,5
363,"[4, 2, 3, 6, 8, 15]",12,6
364,"[4, 5, 2, 3, 6, 15]",18,6
365,"[4, 5, 2, 3, 6, 8, 15]",19,7
366,"[4, 6, 8, 10, 7, 15]",23,6
367,"[4, 12, 11, 10, 7, 15]",34,6
368,"[4, 12, 11, 10, 8, 15]",35,6
369,"[4, 12, 11, 10, 8, 6, 15]",38,7
370,"[4, 12, 11, 13, 10, 7, 15]",44,7
371,"[4, 12, 11, 13, 10, 8, 15]",45,7
372,"[5, 2, 3, 6]",11,4
373,"[5, 4, 2, 3, 6]",12,5
374,"[5, 2, 4, 6]",13,4
375,"[5, 4, 12, 11, 10, 8, 6]",39,7
376,"[5, 4, 6, 15, 7]",13,5
377,"[5, 4, 6, 8, 15, 7]",14,6
378,"[5, 2, 3, 6, 15, 7]",16,6
379,"[5, 4, 2, 3, 6, 15, 7]",17,7
380,"[5, 2, 3, 6, 8, 15, 7]",17,7
381,"[5, 2, 4, 6, 15, 7]",18,6
382,"[5, 2, 4, 6, 8, 15, 7]",19,7
383,"[5, 4, 6, 8, 10, 7]",25,6
384,"[5, 4, 6, 15, 8, 10, 7]",28,7
385,"[5, 2, 3, 6, 8, 10, 7]",28,7
386,"[5, 2, 4, 6, 8, 10, 7]",30,7
387,"[5, 4, 12, 11, 10, 7]",36,6
388,"[5, 2, 4, 12, 11, 10, 7]",41,7
389,"[5, 4, 12, 11, 13, 10, 7]",46,7
390,"[5, 4, 6, 8]",10,4
391,"[5, 2, 3, 6, 8]",13,5
392,"[5, 4, 6, 15, 8]",13,5
393,"[5, 4, 2, 3, 6, 8]",14,6
394,"[5, 2, 4, 6, 8]",15,5
395,"[5, 2, 3, 6, 15, 8]",16,6
396,"[5, 4, 2, 3, 6, 15, 8]",17,7
397,"[5, 2, 4, 6, 15, 8]",18,6
398,"[5, 4, 6, 15, 7, 10, 8]",28,7
399,"[5, 4, 12, 11, 10, 8]",37,6
400,"[5, 2, 4, 12, 11, 10, 8]",42,7
401,"[5, 4, 12, 11, 13, 10, 8]",47,7
402,"[5, 4, 6, 15, 9]",19,5
403,"[5, 4, 6, 8, 15, 9]",20,6
404,"[5, 2, 3, 6, 15, 9]",22,6
405,"[5, 4, 2, 3, 6, 15, 9]",23,7
406,"[5, 2, 3, 6, 8, 15, 9]",23,7
407,"[5, 2, 4, 6, 15, 9]",24,6
408,"[5, 2, 4, 6, 8, 15, 9]",25,7
409,"[5, 4, 6, 8, 10]",18,5
410,"[5, 4, 6, 15, 7, 10]",20,6
411,"[5, 2, 3, 6, 8, 10]",21,6
412,"[5, 4, 6, 8, 15, 7, 10]",21,7
413,"[5, 4, 6, 15, 8, 10]",21,6
414,"[5, 4, 2, 3, 6, 8, 10]",22,7
415,"[5, 2, 4, 6, 8, 10]",23,6
416,"[5, 2, 3, 6, 15, 7, 10]",23,7
417,"[5, 2, 3, 6, 15, 8, 10]",24,7
418,"[5, 2, 4, 6, 15, 7, 10]",25,7
419,"[5, 2, 4, 6, 15, 8, 10]",26,7
420,"[5, 4, 12, 11, 10]",29,5
421,"[5, 2, 4, 12, 11, 10]",34,6
422,"[5, 4, 12, 11, 13, 10]",39,6
423,"[5, 4, 12, 11, 13, 14, 10]",39,7
424,"[5, 2, 4, 12, 11, 13, 10]",44,7
425,"[5, 4, 6, 8, 10, 11]",23,6
426,"[5, 4, 12, 11]",24,4
427,"[5, 4, 6, 15, 7, 10, 11]",25,7
428,"[5, 2, 3, 6, 8, 10, 11]",26,7
429,"[5, 4, 6, 15, 8, 10, 11]",26,7
430,"[5, 2, 4, 6, 8, 10, 11]",28,7
431,"[5, 2, 4, 12, 11]",29,5
432,"[5, 4, 6, 8, 10, 13, 11]",33,7
433,"[5, 2, 3, 6, 4, 12, 11]",35,7
434,"[5, 2, 4, 12]",19,4
435,"[5, 2, 3, 6, 4, 12]",25,6
436,"[5, 4, 6, 8, 10, 11, 12]",33,7
437,"[5, 4, 6, 8, 10, 13]",28,6
438,"[5, 4, 6, 8, 10, 11, 13]",28,7
439,"[5, 4, 6, 8, 10, 14, 13]",28,7
440,"[5, 4, 12, 11, 13]",29,5
441,"[5, 4, 6, 15, 7, 10, 13]",30,7
442,"[5, 2, 3, 6, 8, 10, 13]",31,7
443,"[5, 4, 6, 15, 8, 10, 13]",31,7
444,"[5, 2, 4, 6, 8, 10, 13]",33,7
445,"[5, 2, 4, 12, 11, 13]",34,6
446,"[5, 4, 12, 11, 10, 13]",39,6
447,"[5, 4, 12, 11, 10, 14, 13]",39,7
448,"[5, 2, 4, 12, 11, 10, 13]",44,7
449,"[5, 4, 6, 8, 10, 14]",26,6
450,"[5, 4, 6, 15, 7, 10, 14]",28,7
451,"[5, 2, 3, 6, 8, 10, 14]",29,7
452,"[5, 4, 6, 15, 8, 10, 14]",29,7
453,"[5, 4, 6, 8, 10, 13, 14]",30,7
454,"[5, 2, 4, 6, 8, 10, 14]",31,7
455,"[5, 4, 12, 11, 13, 14]",31,6
456,"[5, 2, 4, 12, 11, 13, 14]",36,7
457,"[5, 4, 12, 11, 10, 14]",37,6
458,"[5, 4, 12, 11, 10, 13, 14]",41,7
459,"[5, 2, 4, 12, 11, 10, 14]",42,7
460,"[5, 4, 12, 11, 13, 10, 14]",47,7
461,"[5, 4, 6, 15]",11,4
462,"[5, 4, 6, 8, 15]",12,5
463,"[5, 2, 3, 6, 15]",14,5
464,"[5, 4, 2, 3, 6, 15]",15,6
465,"[5, 2, 3, 6, 8, 15]",15,6
466,"[5, 2, 4, 6, 15]",16,5
467,"[5, 4, 2, 3, 6, 8, 15]",16,7
468,"[5, 2, 4, 6, 8, 15]",17,6
469,"[5, 4, 6, 8, 10, 7, 15]",27,7
470,"[5, 4, 12, 11, 10, 7, 15]",38,7
471,"[5, 4, 12, 11, 10, 8, 15]",39,7
472,"[6, 8, 15, 7]",6,4
473,"[6, 8, 10, 7]",17,4
474,"[6, 15, 8, 10, 7]",20,5
475,"[6, 4, 12, 11, 10, 7]",36,6
476,"[6, 4, 12, 11, 13, 10, 7]",46,7
477,"[6, 15, 7, 10, 8]",20,5
478,"[6, 4, 12, 11, 10, 8]",37,6
479,"[6, 4, 12, 11, 13, 10, 8]",47,7
480,"[6, 8, 15, 9]",12,4
481,"[6, 8, 10, 7, 15, 9]",27,6
482,"[6, 15, 7, 10]",12,4
483,"[6, 8, 15, 7, 10]",13,5
484,"[6, 15, 8, 10]",13,4
485,"[6, 4, 12, 11, 10]",29,5
486,"[6, 3, 2, 4, 12, 11, 10]",33,7
487,"[6, 4, 12, 11, 13, 10]",39,6
488,"[6, 4, 12, 11, 13, 14, 10]",39,7
489,"[6, 8, 10, 11]",15,4
490,"[6, 15, 7, 10, 11]",17,5
491,"[6, 8, 15, 7, 10, 11]",18,6
492,"[6, 15, 8, 10, 11]",18,5
493,"[6, 4, 12, 11]",24,4
494,"[6, 8, 10, 13, 11]",25,5
495,"[6, 8, 10, 14, 13, 11]",25,6
496,"[6, 15, 7, 10, 13, 11]",27,6
497,"[6, 15, 7, 10, 14, 13, 11]",27,7
498,"[6, 8, 15, 7, 10, 13, 11]",28,7
499,"[6, 15, 8, 10, 13, 11]",28,6
500,"[6, 3, 2, 4, 12, 11]",28,6
501,"[6, 15, 8, 10, 14, 13, 11]",28,7
502,"[6, 3, 2, 5, 4, 12, 11]",35,7
503,"[6, 3, 2, 4, 12]",18,5
504,"[6, 8, 10, 11, 12]",25,5
505,"[6, 3, 2, 5, 4, 12]",25,6
506,"[6, 15, 7, 10, 11, 12]",27,6
507,"[6, 8, 15, 7, 10, 11, 12]",28,7
508,"[6, 15, 8, 10, 11, 12]",28,6
509,"[6, 8, 10, 13, 11, 12]",35,6
510,"[6, 8, 10, 14, 13, 11, 12]",35,7
511,"[6, 15, 7, 10, 13, 11, 12]",37,7
512,"[6, 15, 8, 10, 13, 11, 12]",38,7
513,"[6, 8, 10, 13]",20,4
514,"[6, 8, 10, 11, 13]",20,5
515,"[6, 8, 10, 14, 13]",20,5
516,"[6, 15, 7, 10, 13]",22,5
517,"[6, 15, 7, 10, 11, 13]",22,6
518,"[6, 15, 7, 10, 14, 13]",22,6
519,"[6, 8, 15, 7, 10, 13]",23,6
520,"[6, 15, 8, 10, 13]",23,5
521,"[6, 8, 15, 7, 10, 11, 13]",23,7
522,"[6, 15, 8, 10, 11, 13]",23,6
523,"[6, 8, 15, 7, 10, 14, 13]",23,7
524,"[6, 15, 8, 10, 14, 13]",23,6
525,"[6, 4, 12, 11, 13]",29,5
526,"[6, 3, 2, 4, 12, 11, 13]",33,7
527,"[6, 4, 12, 11, 10, 13]",39,6
528,"[6, 4, 12, 11, 10, 14, 13]",39,7
529,"[6, 8, 10, 14]",18,4
530,"[6, 15, 7, 10, 14]",20,5
531,"[6, 8, 15, 7, 10, 14]",21,6
